"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
16777215,6956397,41333,28722,44501,13292,5572924,2205737,9491,6589,10104,4080,232,163
152625,63215,30,27,287,242,111190,60865,33,33,274,3,51,164
180026,25604,49,52,163,310,156780,33255,71,90,172,229,48,164
101449,8505,74,113,211,283,80386,9355,52,68,180,96,39,164
180473,10976,15,73,87,335,151420,13248,32,108,125,111,49,166
617074,58448,40,121,98,217,455202,51618,80,80,43,101,72,167
718255,579566,135,56,198,398,296185,343501,61,67,97,188,115,168
326907,30269,24,0,19,346,254132,33638,46,64,51,161,61,170
252681,15863,35,49,102,317,244706,20797,46,73,120,105,49,170
113481,15150,45,68,61,179,107922,21527,33,41,41,20,39,171
354425,176222,34,41,100,328,299567,207199,41,73,167,219,58,171
177365,152022,0,67,265,164,82362,95698,14,40,179,33,64,173
220659,29181,44,49,142,281,214977,37413,33,75,111,30,47,173
384308,422424,0,126,73,612,233252,388528,40,123,103,299,89,174
89068,89454,12,64,203,300,82158,117042,77,87,295,139,35,175
89436,68115,40,46,45,315,84818,89670,25,56,78,59,35,178
10331869,12018628,47631,25605,52199,10206,3613897,6596090,19461,10342,21970,9943,153,180
120704,7262,8,24,14,342,112582,9789,35,30,26,68,40,180
1176347,292283,100,115,26,420,969919,337850,74,147,57,219,70,181
106736,16834,28,20,89,246,96846,22061,29,22,55,31,39,182
155893,393944,0,33,0,268,80674,289166,40,46,124,5,74,183
130570,176984,0,57,170,502,83304,118808,2,55,64,315,40,183
2623403,3704462,20,6,116,248,1046421,1820240,46,116,325,86,168,187
1491497,131066,122,147,239,419,1007596,103060,98,163,162,277,95,188
100528,14114,13,13,58,332,93810,18251,39,22,222,129,37,190
367192,387962,0,55,208,266,187135,141155,6,103,170,112,114,190
424457,77751,4,64,98,297,319019,87598,28,72,181,32,63,191
121676,142598,8,93,46,286,81186,144784,21,31,116,106,50,191
12236247,4036824,31380,21792,42972,17017,3194405,1383196,6689,4698,10048,5261,200,191
161997,47343,15,68,48,285,126693,52112,21,43,147,41,51,192
264063,42005,29,66,328,263,247429,55087,61,63,255,26,50,193
279142,252047,0,97,6,255,202498,272432,54,82,95,83,64,194
250629,54538,0,45,0,294,146517,42412,15,79,26,29,72,195
887891,351113,88,12,330,481,723114,344532,78,53,344,381,80,198
95893,19111,18,44,210,220,84405,22392,20,95,171,0,38,202
144033,67923,19,41,11,193,90460,68832,23,72,84,11,55,202
567891,351390,30,62,158,287,348655,365823,46,53,133,214,79,203
313685,20698,8,13,87,237,289267,24107,25,28,62,27,54,204
506632,124934,18,0,78,299,388010,108329,16,88,120,156,70,207
254459,212822,63,34,11,269,139664,213639,67,63,210,131,73,207
94769,10218,0,35,135,304,86004,13138,27,74,281,122,37,207
2635140,3495531,223,246,311,1121,1226738,1990743,142,132,274,564,134,210
246229,143644,43,67,254,201,196986,156895,26,52,214,240,54,212
92376,10542,43,52,74,253,81483,14946,61,33,46,19,36,212
126652,94043,70,104,281,346,105206,106627,76,102,153,265,45,214
92232,14074,12,41,113,277,87176,17917,33,81,90,22,36,217
112841,24348,23,64,97,296,93575,30313,102,109,117,46,41,217
144915,140431,15,57,82,537,134583,181883,34,75,98,373,43,220
341536,281600,0,49,0,227,174624,166605,51,56,43,49,96,220
1614413,226791,95,109,137,444,1095148,159628,71,107,194,222,90,221
186612,98125,90,118,530,1252,155855,124242,61,107,361,1047,49,221
125546,55887,27,40,5,222,92931,64749,39,54,27,27,48,221
1842443,327948,76,56,186,333,1352758,239447,74,39,225,125,115,223
190335,12959,29,87,145,272,171635,18737,49,79,243,57,47,223
186729,8416,0,80,39,92,106217,8310,31,63,65,57,65,226
273123,437572,23,77,99,396,81559,147872,11,69,100,121,71,227
177942,18853,34,97,47,250,167351,23625,46,78,130,40,46,228
212832,179735,44,19,44,243,142990,171518,56,74,119,60,67,228
133112,59562,223,80,277,314,121061,78338,155,66,194,189,42,228
94218,11256,36,64,27,250,80310,9242,21,51,61,13,36,229
127107,2993592,100,172,174,409,81770,3543691,72,121,63,250,48,229
1903687,588806,104,87,262,415,1175021,556760,82,62,276,332,96,230
183457,94054,63,0,57,390,133528,111667,94,16,76,215,54,230
523171,44022,0,51,117,333,447718,50999,17,88,126,126,61,230
2541297,233788,135,125,178,1334,1692948,219206,104,133,221,823,92,231
112423,78227,2,32,87,336,104615,102332,21,73,211,64,39,232
214503,26723,43,0,163,194,156564,30433,52,55,96,10,55,237
750475,316599,59,0,111,157,539868,235816,29,44,146,39,78,237
171780,78094,24,29,97,221,88947,47377,40,34,136,79,62,237
717359,115014,30,77,32,470,581761,132703,68,125,50,297,66,240
663120,14744,0,0,22,266,498050,13661,34,29,73,96,75,240
327365,105879,0,51,133,184,140361,66895,20,88,194,7,94,240
141295,41419,40,130,28,344,101137,45481,48,109,124,136,54,241
502703,85615,35,62,175,326,441851,99758,64,62,267,53,60,242
135773,26714,0,14,38,235,92166,26912,33,111,69,0,62,242
132735,1567665,47,128,96,308,97659,2023249,68,88,76,57,45,243
131101,30908,45,30,54,326,113389,40023,50,45,152,90,43,243
106620,6489,20,70,95,242,83365,9351,67,65,120,0,42,244
167369,17720,35,0,191,202,155491,20721,71,3,229,28,45,245
1866388,358119,46,57,89,525,1121094,264859,36,112,80,327,105,248
138607,114322,15,52,85,415,121006,135080,32,70,103,336,45,250
185445,18155,13,19,0,239,140652,22083,25,46,0,39,53,250
808374,36519,20,88,216,188,755600,42606,25,86,123,0,63,254
160539,23575,54,17,438,251,148376,26336,58,62,512,68,45,255
474060,387620,78,110,337,658,225852,212998,61,76,155,265,144,256
195789,108602,17,7,23,445,93265,52551,12,36,145,180,46,256
325408,798595,702,679,2109,1001,201746,815866,460,398,1196,863,67,258
189220,172288,41,145,0,306,87867,105912,77,122,48,107,81,258
473103,236646,81,65,62,340,298797,233547,83,53,121,164,79,258
