"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
158458,32522,68,105,151,343,151156,41760,68,55,174,172,43,5391
95397,101384,25,63,34,358,80738,138477,51,27,13,231,38,5391
361309,93843,35,143,168,342,326244,116471,36,65,112,135,55,5393
148104,62866,65,107,211,356,132945,69915,93,140,172,65,45,5393
421722,280526,21,69,11,458,316638,315050,18,88,48,152,64,5395
89288,3883,54,121,191,252,85306,5305,53,72,179,46,35,5396
86610,10732,17,13,146,251,80825,15250,38,45,148,3,34,5400
154600,14097,3,48,35,358,152411,21271,22,111,24,77,43,5400
170116,41679,0,8,71,247,154729,43665,38,4,101,75,46,5400
276139,548475,30,27,27,251,94309,273771,31,79,88,51,106,5401
729335,812447,14,32,125,264,475669,915065,33,57,110,73,96,5402
326924,47691,48,0,14,191,283467,58511,49,45,141,107,55,5404
144620,11011,30,18,24,316,129811,15888,45,90,2,129,42,5405
143848,96109,19,32,187,180,120480,97570,36,20,193,27,45,5406
170260,55584,13,0,45,478,154590,73253,25,9,125,265,45,5409
104436,21927,32,14,29,409,97246,29049,74,62,105,148,38,5409
539591,30101,138,116,316,206,520854,37026,131,102,378,131,58,5410
531817,46308,22,79,59,267,499019,56566,36,50,82,63,58,5411
253892,135067,665,471,1252,0,241332,170469,544,352,1238,325,50,5412
6183614,2268657,216,315,482,981,3004964,1330839,124,186,479,425,143,5413
171752,57280,18,33,0,275,154009,72536,12,35,9,5,45,5415
304273,23871,68,35,94,323,295089,28479,75,38,128,119,52,5415
171617,65832,37,95,172,442,146644,83979,18,100,353,284,47,5415
244874,151515,1,43,11,315,193281,178522,18,42,95,75,56,5416
100880,48290,23,147,81,289,96957,64716,66,125,65,97,36,5417
179824,27213,55,7,188,378,165431,32681,31,33,298,252,47,5419
147781,19804,0,35,45,265,135462,25605,29,37,51,90,43,5421
495991,292878,273,208,557,472,311631,244690,175,138,454,400,78,5422
219726,95205,143,247,330,509,187586,123917,110,237,262,358,50,5423
253448,59217,42,27,0,234,238972,72230,75,44,10,0,49,5423
308998,196862,30,68,0,420,227035,98277,93,80,87,115,60,5424
177234,221922,25,35,223,438,120772,245244,37,41,122,128,60,5425
187252,25236,71,80,150,424,159587,27562,35,49,145,124,48,5426
335531,291140,77,19,97,443,272735,361941,93,59,244,400,56,5430
199488,47214,6,38,71,315,192466,65812,1,40,104,88,46,5432
1219666,3526607,170,124,373,400,453303,2199307,142,120,218,199,119,5432
468753,195586,97,122,162,351,451920,257903,86,106,145,189,56,5437
223143,25016,1,83,39,200,214435,32361,28,76,54,33,48,5437
101306,5420,13,105,47,320,99163,9600,24,77,61,60,36,5438
103976,14558,29,62,22,328,91717,17486,50,72,67,100,39,5439
636912,35696,0,42,311,375,244796,16421,59,61,146,104,123,5441
194771,15399,0,1,95,258,175674,20595,11,29,88,130,47,5442
322430,106648,17,0,183,417,268300,121578,37,25,296,207,59,5446
414529,193050,6,34,0,333,345993,228234,75,69,8,138,60,5447
263305,49554,539,366,1511,179,235653,57763,476,316,1397,204,53,5449
1643507,150150,82,184,215,452,1475039,172184,109,156,141,151,73,5450
228695,42823,38,60,196,350,199016,51462,58,75,215,214,50,5452
326966,28561,0,100,78,572,301261,36550,20,58,214,333,53,5453
219148,15054,29,34,151,308,210603,21208,52,95,94,97,48,5453
218038,76338,58,4,153,298,193482,98094,71,40,190,143,49,5455
191341,287967,11,27,104,313,168081,360538,18,91,203,73,49,5455
121990,116178,9,34,0,224,102123,151249,19,22,13,0,43,5455
261357,288691,178,106,633,451,175358,97478,45,87,346,321,58,5456
283819,328652,0,67,0,308,188527,181179,30,89,0,148,70,5456
