"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
394610,20596,32,4,289,275,394879,26262,42,54,305,28,53,144
1068149,228116,1318,443,456,428,698184,173817,944,231,467,355,90,144
462428,1655134,10399,6285,13099,774,389755,2105973,9127,5433,11983,1692,58,145
89730,6022,46,51,0,289,84886,9312,70,42,5,52,34,145
327319,262227,655,484,1388,1330,242879,280219,454,292,1288,668,62,145
102557,6784,305,129,460,319,96601,9863,249,101,325,248,37,146
92917,34049,86,38,157,361,83884,42575,63,89,180,268,36,146
147986,59499,703,323,1265,255,141163,77232,591,276,872,279,42,146
462753,104223,283,227,379,247,353024,121350,178,175,276,24,63,147
122271,30514,465,290,689,3,116321,41022,346,216,673,3,39,147
89853,10712,0,2,18,271,88566,15349,25,38,14,43,35,147
170465,382448,292,64,598,205,156567,488748,229,95,543,431,46,147
98045,7755,33,70,154,250,93080,10542,32,48,336,33,36,148
360144,291898,139,252,170,306,307383,352989,127,183,124,152,59,148
84781,17502,23,1,115,327,81265,23906,13,39,72,96,34,148
613109,125342,77,118,621,435,338021,58503,83,82,166,180,87,149
691286,65648,277,240,711,435,638324,79362,233,211,602,391,62,149
127885,20325,418,312,612,481,127811,27285,386,335,523,318,39,149
240687,83114,480,222,716,538,237591,107373,443,217,703,578,48,149
346226,28372,604,358,842,486,331013,34548,438,357,942,253,53,149
153019,40666,110,80,326,385,133071,42546,138,86,387,253,46,150
426889,585772,72,9,71,322,170822,397787,34,91,229,135,106,150
322181,43059,73,49,282,239,304004,52968,99,66,185,140,53,150
258085,98810,4359,2681,5397,0,250652,119784,4087,2333,6028,1368,49,151
217342,23588,40,63,22,272,217157,33192,55,50,47,38,47,151
86336,45309,600,375,513,488,82930,63244,612,278,686,294,34,152
2663664,7874294,5544,3820,14994,3463,1480797,7656362,3382,1934,9010,2039,102,152
240279,94909,181,169,168,294,234251,125206,183,112,413,158,48,152
169705,14717,4,25,83,316,165919,20724,26,47,95,52,43,152
946413,142600,3360,1379,14196,1352,839000,178385,2722,1160,12038,2343,66,152
267672,15138,22,29,39,220,262480,20434,24,38,41,17,50,152
533220,59749,89,40,220,335,525498,76307,136,67,262,299,57,152
1055344,92181,176,154,341,341,1033942,117058,161,175,353,256,63,153
1812532,350812,19433,18183,44804,0,1769593,442549,16514,15251,38612,2213,71,153
730455,63013,123,87,296,225,723141,80189,104,94,266,29,60,153
107479,52871,186,203,306,561,81995,62322,103,100,374,277,43,153
92136,18831,36,0,92,263,91392,24822,20,32,112,17,35,153
112287,19724,38,38,87,306,109801,29095,23,52,100,89,38,153
164485,17590,33,14,79,239,154911,23419,59,37,162,0,44,154
135270,5782,23,130,150,152,124819,7657,84,140,135,42,42,154
182570,292496,470,558,1282,0,110373,260983,276,223,723,51,57,154
140181,10495,0,34,115,276,137716,13844,17,55,144,15,41,154
138127,16557,20,37,51,370,129654,22952,30,49,53,222,42,154
626920,71124,123,142,381,329,613412,90834,107,76,538,121,59,155
213854,45250,852,410,759,363,209506,60169,715,383,764,241,47,156
103346,5932,121,35,128,124,91610,6020,82,71,265,5,38,156
695801,54956,92,103,151,300,689615,70442,94,185,194,209,60,156
711220,78669,134,72,614,417,695045,99453,101,101,721,253,60,156
662903,47670,108,147,604,296,644240,60866,109,101,568,325,60,156
191456,30676,193,103,256,336,180870,39019,181,104,224,101,46,156
92226,2154,0,114,51,285,90795,3976,29,108,73,66,35,157
309524,22499,171,93,275,188,293985,27861,151,68,259,204,52,157
338271,33900,136,0,60,401,319065,42687,132,5,139,219,54,157
148317,8654,77,48,116,365,143040,11081,52,42,140,95,42,157
423561,19578,54,93,563,410,404805,23729,97,117,364,200,55,158
289629,17299,24,30,0,406,285058,22778,41,58,0,154,50,158
112688,11041,85,54,342,283,100908,14958,92,99,529,76,40,158
128554,6954,40,55,64,447,121573,8121,33,57,66,229,40,158
167796,32627,73,0,48,240,161504,43464,111,11,48,57,44,158
242804,16513,39,22,125,342,240153,23022,62,31,107,196,48,159
210056,17069,76,0,30,325,210359,21838,58,46,52,102,46,159
162579,69133,218,200,667,402,143488,89865,230,142,455,453,45,159
138420,27414,55,87,60,358,93027,24443,37,49,194,300,53,160
467775,135749,78,71,201,206,456276,178125,83,96,241,94,56,160
541702,659293,885,447,1896,1127,440213,708321,544,378,1571,835,65,160
416519,242315,2211,1153,2003,434,400148,314461,1832,951,1878,889,56,160
581260,526028,651,513,2181,1152,486641,587412,539,435,1368,652,62,161
133505,11664,650,486,627,587,130771,15396,519,518,783,822,40,161
297684,123221,1020,683,1793,1016,288556,161586,944,611,1835,1361,51,161
135789,141775,373,231,830,402,130772,195303,352,252,638,261,41,161
232340,8542,0,80,132,249,225642,10868,7,43,136,18,48,161
87718,14919,176,67,211,368,84268,19852,216,142,269,150,34,161
365886,248814,1349,810,3648,882,356132,324347,1193,739,3640,675,54,162
1189747,5554881,62279,37958,97203,0,704932,4655219,37006,23313,62108,4290,87,162
301427,104624,247,221,583,392,236264,108846,200,155,452,319,60,162
778775,639172,1856,1498,4425,252,448826,534919,1087,756,2529,661,94,162
544541,237448,52,1,60,429,291437,224293,56,70,176,307,115,162
192010,13812,29,13,177,237,187849,19316,39,76,164,0,45,163
306725,18157,78,35,124,353,305608,23900,88,36,152,182,51,163
220028,136201,2158,1242,3030,194,216263,182038,2146,1123,2434,610,47,163
525803,78709,124,75,299,132,503943,99027,165,90,185,150,59,163
555791,48622,141,166,341,110,532580,60992,81,103,310,136,58,163
188001,5381,232,132,282,98,180177,6505,194,202,238,24,46,163
97313,6777,52,24,74,327,92671,9210,92,64,89,84,36,164
172849,12617,9,0,15,206,169598,17538,35,29,47,14,44,164
160523,60267,156,211,488,355,146895,79468,114,176,730,244,44,164
159157,65425,105,101,313,323,155763,85652,84,102,273,210,43,164
949570,5056183,58973,35002,80863,7113,686140,5400482,42636,24740,61716,8317,75,165
945511,167082,313,247,354,365,528885,103649,208,89,269,259,143,165
204096,51616,256,245,487,298,198483,65015,230,207,435,279,46,165
100132,6405,34,59,126,338,96775,8321,61,97,97,132,36,165
276528,50872,649,454,835,377,263625,66075,659,388,855,333,51,166
217750,37727,2049,1389,2464,295,209739,50056,2002,1326,2528,649,47,166
979908,5262651,73528,44762,83399,3588,596429,5398214,51741,30640,57653,5668,84,166
500437,145723,107,150,0,295,208965,49343,45,99,172,113,116,166
148137,14071,43,61,177,324,144346,17676,76,65,155,139,41,166
289842,76393,88,101,108,313,266982,100004,76,153,191,104,52,166
109639,17254,875,639,1101,122,103472,22317,814,531,1082,119,38,167
513883,796494,14503,8584,18285,2311,444780,949073,12286,6857,16451,2413,61,167
154391,18185,3,29,64,315,150421,24211,38,66,135,74,42,167
85303,9143,103,80,263,171,81653,11463,71,54,157,122,34,168
118965,11834,134,102,310,320,110335,15347,108,93,323,499,40,168
682872,67154,154,108,723,424,665742,84204,127,155,516,171,59,168
136823,3081,82,45,80,343,129618,4084,90,81,56,177,41,169
733834,66189,131,127,246,489,726244,87627,107,126,333,248,60,169
747428,69544,93,88,335,289,742163,90560,91,81,363,158,61,169
181044,72956,422,297,630,496,177288,97127,345,272,662,560,44,169
189925,15382,36,28,114,248,191648,22817,21,40,170,6,45,170
504049,40692,118,248,689,287,435671,46377,85,190,572,497,61,171
242146,302209,664,556,1788,768,82366,158292,221,289,629,556,106,171
127977,11512,25,44,0,342,123242,16050,46,31,1,77,39,171
83804,7735,44,0,245,368,80813,13207,49,0,174,233,33,171
262228,43478,1103,639,1250,353,257559,57037,1101,538,1180,383,49,171
568808,55300,114,175,306,221,551326,69685,82,87,337,79,58,172
336090,150498,422,409,787,0,283374,170851,347,306,1141,57,58,172
229973,38867,98,61,200,221,216811,50906,150,70,191,120,48,172
633594,84135,75,123,340,282,622379,109754,66,71,407,247,59,172
649231,545585,11951,7800,13853,1486,553402,652652,10039,6669,11065,2300,63,173
397167,81645,2875,2734,5846,92,359109,96461,2565,2139,4187,626,57,173
131731,24357,1023,673,1284,287,130196,32251,792,536,986,407,40,174
293355,96053,1105,676,1657,455,284410,127122,987,594,1822,345,51,174
313110,80101,490,511,516,314,280064,89252,370,371,453,364,55,175
731244,76648,162,159,123,585,705855,96547,150,158,204,229,61,175
779877,90255,138,0,312,287,773293,114702,123,29,372,146,61,175
570877,146417,2151,1328,2578,1418,557039,194705,2102,1049,2238,1290,57,176
170081,41373,122,71,145,284,166359,55533,155,66,240,108,44,176
267917,135700,218,217,850,51,245366,171227,257,258,1141,186,51,176
1014299,595475,8528,4993,9278,1231,979521,735271,7434,4153,7914,1534,64,177
366735,12631,1,37,136,306,346628,15397,17,61,215,104,54,177
806085,118889,56,113,202,368,795347,149972,94,93,511,130,62,177
84645,10618,306,296,565,335,80149,14634,311,311,533,304,34,177
128686,4519,20,0,316,338,119820,6322,56,21,292,146,40,177
119000,4923,60,110,180,211,102197,6334,51,93,208,30,42,177
289506,175238,319,200,653,711,257917,220458,334,190,764,530,52,177
144107,9410,86,77,116,382,138885,13297,73,56,93,146,41,177
424621,153688,1380,631,2251,1054,395578,193960,1286,473,2031,906,56,177
268966,48779,1495,940,2306,1223,262145,66128,1387,801,2305,1138,50,178
131891,111388,246,400,513,505,84977,88340,181,206,349,224,48,178
271650,10421,53,95,160,217,267886,13985,70,82,79,6,50,178
471124,98735,488,326,1063,681,443875,120863,436,313,930,754,58,179
252955,5164,22,27,55,285,251926,7302,13,59,38,100,48,179
455183,123574,387,226,173,293,404900,142494,342,137,132,110,58,180
124517,33464,1119,1202,2392,796,121633,46215,1092,969,1961,791,39,180
131989,109959,229,322,890,251,110203,140071,241,283,1078,323,44,180
1732908,525356,332,527,2097,368,1538802,616152,241,352,1922,419,73,180
374826,15887,1469,1766,3779,855,370271,19499,1336,1522,3836,623,53,180
810120,46470,106,91,177,384,798926,57357,96,72,219,293,62,180
550630,62110,75,122,269,277,543858,79661,64,63,205,77,57,181
656931,232026,337,333,717,251,627919,276478,303,228,893,227,61,181
645360,48479,44,123,199,594,644490,61972,80,47,181,396,59,181
91785,18152,167,101,493,343,83387,24317,163,84,613,227,36,181
317639,160919,229,199,614,448,258428,199832,169,173,607,754,55,181
97157,104219,215,175,329,489,91613,140715,186,162,296,339,37,181
506294,59273,96,1,208,377,505874,78328,79,49,151,313,56,182
388612,124145,2127,1126,1787,566,379300,159295,2004,1086,1893,410,54,183
283870,11932,62,0,51,296,275428,15924,69,26,57,81,51,183
226425,25908,19,82,158,247,214432,32739,37,113,218,39,48,183
166789,17253,133,134,153,297,157708,21854,135,112,167,113,45,183
192432,53543,212,185,612,472,172945,67636,182,195,352,207,47,183
209414,86621,268,257,786,455,195406,105374,240,172,486,315,47,183
262658,58455,98,118,96,193,253073,73331,124,106,150,118,50,183
286717,292839,6709,3552,6692,907,268163,389600,5850,2924,6630,894,53,183
204472,184418,1380,699,1805,169,201260,244764,1275,610,2133,353,46,184
88293,32273,935,477,920,390,84260,45101,880,380,804,298,35,184
265803,157297,3403,2347,4209,1094,258920,208922,3091,2167,3777,1600,50,184
449520,26982,337,237,175,284,428495,35795,336,187,363,141,57,184
580912,58028,163,122,319,452,571541,76239,140,98,406,329,58,185
353560,21340,96,112,224,299,342983,28134,114,72,271,96,53,185
339107,413614,839,521,2387,438,296878,509419,784,450,2147,401,54,185
215322,256882,728,548,1891,456,206888,339857,676,421,1831,454,47,185
405970,60396,198,90,61,293,391076,77503,205,69,100,164,54,185
685603,157724,152,58,404,395,666586,205381,138,155,362,221,60,185
744157,288425,1129,948,3447,799,337415,231389,526,332,1322,595,124,186
145999,22451,18,24,55,345,145614,30925,92,43,63,172,41,186
298312,25977,2107,337,344,137,296209,33182,1775,307,441,0,50,186
168148,16833,85,95,115,297,164272,22746,73,108,202,114,43,186
634605,24403,123,103,259,698,622932,30800,106,153,275,288,59,186
158420,9527,1,0,251,320,157128,16409,0,27,296,85,42,187
311277,137167,776,603,1435,413,288732,171561,764,509,1203,461,53,187
106505,23274,0,32,0,290,101963,31436,24,29,0,40,37,187
142746,143629,184,123,605,456,128034,170166,182,125,531,337,42,188
924295,937822,5830,3420,7976,890,746219,991633,4280,2542,6312,810,72,188
722729,88036,49,123,457,229,719836,111783,70,100,435,240,60,189
180844,173527,425,453,1210,710,93257,119881,203,245,752,400,83,189
487121,319370,5449,2885,6214,1462,445931,409225,4669,2598,6353,1095,58,189
173833,44921,156,66,157,278,158472,58841,182,62,317,198,46,190
103011,9620,94,90,166,470,99123,13517,81,97,238,150,37,190
161901,24186,774,253,282,343,153696,30230,736,172,345,144,43,191
139836,48195,147,124,340,263,115122,56783,102,96,333,26,47,191
341555,32614,59,116,228,243,323777,42003,75,112,163,89,54,191
167870,4810,86,65,136,429,160466,7063,84,68,100,499,44,192
285205,555240,456,300,798,363,220953,669706,317,250,668,153,61,192
403941,235807,166,150,305,190,386252,310484,162,93,305,54,55,192
1455771,5812739,92335,55120,115751,7895,746270,5043969,54401,32694,69589,7748,97,192
126442,19285,60,16,17,272,122028,27398,36,28,1,0,40,192
650184,76087,133,149,152,139,642405,99630,137,165,208,42,59,192
90297,31420,103,160,666,373,83471,40640,133,91,661,480,35,192
516398,168781,2402,1692,2935,790,509272,209067,1944,1384,3009,821,58,193
204714,75107,235,274,413,185,177849,87433,250,192,431,193,50,193
318239,49681,260,154,670,247,305419,56794,199,102,430,133,52,193
310322,644808,433,276,638,569,290463,819473,334,186,473,406,52,194
260145,46182,946,410,2282,0,199821,58811,707,326,2143,173,58,194
233360,15180,12,38,119,281,227833,21101,32,70,103,50,48,195
103240,41066,2158,1315,2805,1011,99223,55073,1835,1295,2299,1035,37,195
305737,7151,0,70,54,251,304316,8810,27,83,99,48,51,195
917458,1720240,3982,2695,8773,2448,426376,1507750,1860,1254,4205,1336,109,195
124236,75312,183,170,804,401,103822,91999,125,127,1126,330,43,195
285085,50359,674,681,1603,63,212419,41039,444,512,1032,373,61,196
87792,20374,87,49,145,282,82880,27014,87,47,170,73,34,196
824806,60383,130,84,247,351,814483,74065,129,81,222,308,62,196
213643,9929,0,0,242,267,206087,12463,8,2,162,28,47,196
188306,9752,251,161,1047,96,158906,13466,262,133,1212,69,49,197
121764,40915,491,348,810,304,115647,52805,284,264,933,163,40,197
231866,70333,205,173,196,251,222439,93304,154,125,214,127,48,197
207427,7468,530,288,472,130,196558,8566,463,282,636,221,47,198
211406,89533,182,51,372,207,198137,118284,267,41,640,261,47,198
640105,84383,59,28,126,317,630489,112478,59,32,162,127,58,199
165103,22019,209,93,798,456,138560,16434,169,68,466,336,47,199
174955,132246,194,190,1242,818,92183,110549,94,117,607,358,50,199
250077,162378,998,537,1061,143,246215,216339,965,411,923,92,49,199
682909,123366,89121,14929,5070,732,649783,149730,77209,12784,3983,1531,61,199
346775,205816,542,383,924,301,326469,271766,523,387,729,182,54,199
707819,72518,2152,1516,3298,0,682435,89398,1941,1431,2463,652,62,199
660496,29610,109,0,238,430,632970,34799,109,49,259,439,60,199
885220,981084,532,498,3704,1623,656426,1087881,451,421,3003,1156,73,199
182844,11573,22,1,100,240,176478,14520,53,27,106,34,45,200
96603,7437,633,194,368,506,90899,9871,633,187,435,464,36,200
1285647,1961857,1805,1134,4031,802,1040954,2097596,1227,726,2555,1102,79,200
211140,32641,50,51,0,310,206934,42878,41,34,0,68,46,202
233528,35540,108,58,0,463,208874,46533,75,80,18,310,50,202
183847,16731,548,341,589,878,181010,21867,608,337,655,596,45,202
128965,19577,53,0,43,242,120639,24462,81,25,61,0,40,202
95432,7618,0,7,43,267,89078,12180,8,26,33,6,35,202
310793,336368,1135,672,952,695,293209,427224,977,472,1077,703,52,202
1115273,207161,631,377,1885,1302,738530,141638,280,262,887,713,117,203
88986,15882,913,456,1053,748,81415,22346,858,348,1012,511,35,203
697323,1107150,283,396,1022,776,602320,1415720,279,328,1165,709,65,204
1803079,1668999,31342,23573,43028,0,845838,1410434,15526,12116,20356,2846,110,204
417667,33091,49,69,251,261,401369,44663,93,86,180,7,55,204
178339,8599,77,30,188,0,171038,13792,74,98,145,47,45,204
767271,425341,10669,5751,10772,1915,723351,397996,8773,4810,8216,1531,66,204
322779,45322,1066,688,1310,436,316693,55105,1004,709,1203,213,52,204
682384,144290,1469,987,1973,1373,539802,152390,1149,777,1635,759,66,205
839804,2104119,30202,17468,34311,0,581826,2323911,22432,12638,27627,2744,75,205
170308,226171,463,309,1096,440,121445,263615,354,240,915,603,55,205
112399,6278,1726,1621,3719,855,105862,10756,1579,1426,3475,902,39,205
514218,33191,48,92,3,285,510011,39541,36,75,83,34,57,205
143215,17338,1383,1069,2362,388,130680,22751,1430,918,2215,328,43,205
203520,5106,126,53,262,273,201638,6584,81,78,497,111,46,205
283776,6623,0,9,143,295,280598,7017,17,21,169,46,50,206
141827,9198,35,97,245,429,135850,11778,48,56,309,191,41,206
138791,26425,101,46,62,192,134951,34642,63,119,56,25,41,207
649162,61147,271,142,304,284,574944,67671,218,120,218,54,64,207
158879,5393,72,107,184,336,150682,6445,42,102,99,188,43,208
417585,43312,5247,2969,4533,1128,406238,50774,4402,2637,3752,807,55,208
97911,2918,23,33,10,271,89600,4424,29,27,49,20,37,208
343093,488700,3520,2042,4109,1027,289953,604155,3051,1476,3583,2004,56,209
184877,2035,30,119,281,566,145804,2585,51,98,270,314,50,209
340594,24755,98,32,133,249,328410,30812,99,93,173,86,53,209
104358,2451,35,0,47,169,97868,2870,57,16,57,30,37,209
143075,16043,0,60,12,228,134412,21021,56,65,38,1,42,209
265659,90525,92,144,405,411,239031,113990,89,161,629,209,51,209
242755,79791,241,479,6892,446,206321,89040,174,356,6426,310,53,209
133722,252238,1638,995,2037,549,112850,332370,1528,780,2036,712,43,209
242011,54940,387,394,953,42,211440,67915,308,275,993,135,50,209
286872,229189,749,690,1567,912,162978,155989,385,291,1053,803,81,210
473478,96126,2817,1336,2612,637,470435,114758,2501,1197,2245,607,57,210
94544,26364,525,396,578,644,89511,33173,411,322,436,995,36,210
96730,3480,4,61,131,240,91788,4326,17,81,71,0,36,210
112567,68051,774,423,1089,391,103451,89369,742,340,975,237,39,210
455406,28908,125,110,442,367,440967,34677,107,122,339,193,56,210
274914,295177,28,35,377,239,268871,381203,58,57,424,53,51,211
468373,47141,117,23,588,618,445246,55964,102,34,500,273,57,211
