"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
151658,72388,1459,1024,2541,195,145894,91981,1371,781,2701,579,43,150
120528,36052,1111,604,1214,1065,119440,48297,1162,570,1187,719,39,150
85613,82975,919,280,444,564,83034,115234,798,229,355,399,34,151
332598,142073,1847,1192,2384,975,327817,186259,1708,1094,2217,1469,52,151
104299,30315,383,233,494,472,98993,39675,395,252,488,286,37,151
927039,1214592,22902,15588,30297,0,862464,1510509,20532,13901,28225,6175,63,152
146000,42421,532,408,1009,334,138600,56344,439,388,913,131,42,152
244479,126348,1344,973,2062,1669,240956,169491,1104,953,2186,1386,48,152
382080,338445,2605,1363,3233,146,387547,440445,2230,1128,2915,435,53,154
603795,229809,5803,3813,6622,1843,585166,297642,5357,3327,6388,1714,58,154
99148,37622,138,110,95,270,95568,48626,185,94,100,152,36,155
250786,63207,2407,1344,2919,226,242358,78606,1934,1154,2325,617,49,157
115563,26771,1017,667,1271,439,105466,36191,938,583,955,452,40,157
667751,52845,87,104,339,402,656072,66553,88,68,476,376,59,157
442371,159453,4344,2773,5011,1581,411707,201909,3815,2092,4642,1560,57,158
177152,18295,608,423,657,593,172076,24738,598,330,540,326,45,159
103478,8084,517,346,582,127,100408,9678,419,369,528,167,37,159
780994,73975,107,107,0,352,773717,94537,133,131,49,135,61,160
298623,462247,3821,2074,3922,1743,270491,616224,3304,2026,3909,1020,52,160
185699,25434,77,99,311,284,170836,33228,91,82,232,75,47,160
503991,1344681,5317,3070,8403,1128,413463,1599990,4392,2419,8038,689,61,162
172090,239596,1452,862,1386,497,157739,312355,1142,761,1653,353,45,163
576680,1183307,8308,4692,10678,1858,557945,1509696,7355,4126,10595,1919,59,163
194357,234908,2522,1251,2167,1558,189274,309154,2441,1130,1930,1270,46,163
110507,98444,987,578,1259,776,104996,134221,933,370,1185,728,38,164
204607,317763,1414,864,1702,544,196357,432007,1130,787,1242,542,47,164
146354,84287,137,125,803,413,136581,111155,154,148,661,456,42,164
681950,246420,1194,740,2230,449,664746,311596,793,588,2148,609,60,166
236413,140738,899,631,1679,953,229471,184390,913,672,1321,447,48,166
369306,70010,2058,1059,2285,311,360222,86754,1707,942,2556,243,53,168
289183,71844,3169,2049,3054,1631,283555,90055,2851,1716,3088,1814,51,168
236986,50574,1704,1209,1858,208,231948,64514,1559,918,2095,477,48,169
537484,750594,6265,4007,8055,2307,445927,909974,5545,3088,6007,2808,63,169
397796,44764,2768,2385,4229,1317,398479,56850,2518,1946,3968,1249,53,169
418695,223692,5702,3328,5616,1424,377103,264708,4636,2362,4526,1811,59,170
281462,48801,1903,1317,3127,888,265442,61959,1788,956,2251,1013,52,170
307901,330708,22821,11655,20135,0,272266,414510,19769,9774,17954,2094,55,170
139292,60458,411,331,629,571,132296,80285,353,218,514,423,42,171
113022,22314,28,42,0,345,92725,22539,49,59,5,159,44,171
216232,34698,428,303,526,151,211268,45000,429,169,607,275,47,171
931040,8001248,174930,104002,175878,8617,667045,9185187,134453,78928,138396,13903,70,172
95605,23720,35,54,84,314,90845,28565,43,17,78,38,36,172
209044,311050,8579,5621,9841,1120,171102,386403,7717,4681,8725,3088,51,173
283667,69912,1506,831,2468,89,245588,86441,1302,691,2537,380,53,173
130761,86850,273,208,350,401,120101,112678,202,197,289,308,41,174
192380,34408,420,334,938,746,175183,42037,420,259,647,354,47,175
178263,27171,311,249,895,297,174603,36218,229,201,751,161,44,175
