"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
294000,88934,0,182,298,114,266536,115591,24,134,242,25,52,162
163605,29855,2396,1124,1803,761,159084,38063,2201,977,1830,1115,43,165
154129,10155,40,95,95,310,144912,10867,35,76,110,161,43,166
444428,34612,20,80,147,159,421731,43146,45,81,200,54,56,166
506643,147234,2510,1870,3202,750,488511,184060,2070,1616,3256,951,57,167
116099,55742,46,55,54,267,95557,67584,59,73,83,8,44,168
342514,128453,1845,1311,2345,825,329885,168068,1749,1241,2581,1099,52,169
108455,51839,55,0,249,401,84919,63361,43,44,153,111,43,170
149588,121138,1068,779,1319,41,145335,165737,1149,745,1438,156,42,173
129413,77126,0,4,2,231,83610,68414,21,9,85,6,50,173
126865,11544,71,75,101,371,117795,15845,73,91,165,174,41,174
197473,48124,39,138,183,304,156529,44529,47,81,128,68,57,175
431234,1188905,1783,1198,1799,396,301168,1147517,1083,711,1360,307,72,178
95504,13544,281,177,366,379,91517,19538,238,209,453,185,36,178
170207,26422,0,0,43,293,160095,32666,28,31,53,134,44,178
169319,20934,2,83,175,260,128639,25084,15,61,329,2,52,180
571866,42224,18,84,64,165,427067,42525,43,68,123,39,67,182
398486,187716,700,2254,1524,164,170113,117286,329,973,843,374,98,183
168624,187743,22,29,35,393,124330,122184,32,81,99,45,53,184
441301,2374053,16052,9477,18982,3441,384285,2910786,13648,7942,15329,3318,58,184
94889,632251,1121,663,972,846,86567,838341,1058,641,1177,921,36,184
323174,85091,200,135,293,167,310768,108175,144,129,252,20,53,184
508021,287314,39,78,65,317,350932,298569,60,76,55,280,70,185
149115,27942,1635,1076,1818,450,141485,35292,1362,910,1952,729,42,186
337786,88059,27,24,135,293,295599,104992,49,64,93,93,55,186
697808,543654,93,73,137,425,451421,405816,81,70,226,299,101,187
376089,252700,943,441,1361,726,360798,318757,848,409,1054,482,54,189
105963,51552,62,60,62,287,82379,55786,63,51,96,127,44,191
114471,38247,1001,605,1328,1048,107477,51618,901,615,1550,950,39,193
243509,364696,14,63,263,329,208721,412193,36,78,422,117,52,195
164132,17456,19,87,128,432,142495,23073,73,94,179,185,46,198
262018,74937,81,90,109,222,176241,52905,64,122,156,35,67,198
176169,16316,22,54,187,368,161206,19119,23,51,260,80,47,200
1437895,288904,175,110,105,537,1228322,264582,128,73,237,319,81,202
165353,29261,1436,935,1667,502,159768,36566,1453,741,1712,341,44,203
383828,99798,5118,3254,5043,1323,347637,117820,4330,2868,4952,1343,56,203
1340041,872928,79,85,194,222,1011299,852967,64,66,122,83,77,206
94356,91091,327,453,3005,179,83277,118628,341,348,2480,717,37,206
146601,26999,62,0,41,347,144595,36858,54,20,29,217,41,206
1356171,379997,51,0,40,418,1265509,505022,111,39,51,141,70,206
340182,162615,55,69,0,310,181940,96364,55,69,66,81,87,207
455607,252943,40,37,206,597,389573,314309,65,48,180,427,58,209
147195,412301,2,26,18,404,90529,254719,14,44,46,152,48,210
1853916,28435,101,47,0,342,471528,10526,75,159,181,140,239,212
150307,6658,23,39,65,226,138858,8592,41,78,33,0,43,212
275564,168820,40,2,64,344,199176,130125,28,33,91,70,58,213
120173,41199,34,42,79,328,102389,51801,54,78,89,195,42,216
180530,85501,49,11,81,417,102788,44195,54,33,70,324,61,217
736553,402674,155,183,467,789,509823,380785,120,118,385,662,86,221
112104,18775,8,22,193,304,97064,24800,46,52,209,36,41,221
1880401,7011558,90692,55310,120178,4080,1147429,5272035,48738,31723,75946,8743,95,226
200318,37430,2219,1385,1790,49,193970,44590,1976,1189,1749,942,46,229
1347831,200774,71,26,345,448,700461,151528,51,57,197,225,108,229
364710,102917,1499,1231,2761,654,352280,132001,1429,994,3604,557,54,234
652880,287909,5830,3643,6473,1592,620296,357400,4905,3161,5710,1671,61,236
179824,25026,71,40,51,460,145801,28822,54,52,130,319,51,237
1448954,811979,196,115,502,454,1165247,889200,101,138,475,309,81,237
195933,325339,0,144,0,302,82705,240751,34,118,0,78,83,238
114976,16612,1132,733,902,559,110077,21564,888,681,1170,203,38,238
16777215,10785213,39685,20492,35829,14474,8100496,5101317,12035,6405,12771,6345,182,239
388779,25929,14,0,222,246,319716,31254,36,29,236,35,61,241
333964,137180,1216,691,1344,391,317896,176136,1228,549,1481,355,53,241
1788109,31523,0,0,356,329,1088694,24710,19,72,276,71,113,245
8101775,7601337,110403,60315,100595,0,2268501,2740729,28345,15277,24313,6510,186,246
310049,23043,23,116,0,270,280756,26006,89,70,0,54,54,249
347572,49926,38,85,153,360,301787,57308,35,115,150,109,58,250
106425,49348,716,463,991,404,99856,67634,712,443,913,313,38,250
117289,39969,11,17,49,122,80351,45481,18,32,125,9,47,254
154497,21396,35,55,77,338,123509,20122,68,30,98,95,52,258
189426,81467,70,16,122,362,114337,76195,41,41,185,183,59,258
1128392,549758,232,190,445,325,918441,657891,210,182,255,256,76,258
151913,43277,1256,656,1690,199,139345,58468,1135,608,2017,528,43,258
1621688,5877737,118,0,225,178,871341,6559596,104,35,143,32,91,258
401041,40327,19,90,131,227,380428,52313,30,73,270,0,55,259
1064827,12017952,233087,135692,244765,14513,660003,12368523,165022,95531,177436,12897,77,260
147375,43420,506,349,711,273,141643,59350,645,415,498,172,43,261
166890,61306,19,4,113,312,132543,65125,60,31,176,185,50,261
322778,192878,5724,6281,15363,2052,293557,250478,4796,5568,14428,1796,53,262
1353712,16674631,286094,150602,247870,31107,796426,14474285,177015,93545,159484,20966,88,262
350494,503932,1036,542,1957,1262,219894,387633,564,314,1554,916,78,263
335991,95778,24,43,195,266,300840,109264,38,55,171,19,55,272
511643,567899,44,91,27,349,420975,674507,44,64,47,246,63,274
114911,244501,7,59,233,252,90377,298646,20,50,215,1,43,274
806442,161129,95,127,184,560,591234,143029,124,87,265,762,74,276
458347,533376,24,26,335,198,247714,435086,55,73,229,0,86,276
196395,15471,24,18,70,326,180796,18656,24,17,110,121,47,277
560242,852234,81,0,119,618,438860,667367,69,51,140,279,78,278
143593,179434,96,19,0,480,80081,110162,26,19,105,39,57,278
1843743,1231472,70,50,112,472,1467789,1353262,68,56,131,185,78,279
135186,97642,39,52,0,314,91055,104677,23,74,46,170,50,280
89230,5102,19,48,106,309,82348,6800,65,28,226,57,34,284
1224516,94492,19,95,113,354,1147361,109956,59,55,156,169,67,285
303596,180377,50,137,93,421,196912,190256,54,144,119,285,67,291
303847,31235,29,19,52,365,287549,38957,36,20,57,243,53,293
102153,47151,18,26,114,252,83182,55848,40,59,185,46,40,294
125917,50341,1474,887,1616,1001,117906,67645,1390,787,1962,783,40,294
133578,40005,277,313,1161,345,110497,40788,207,191,1070,140,44,296
209713,256667,32,54,191,257,195617,336718,59,50,142,160,47,298
156600,375661,35,53,109,263,84864,182766,32,96,122,38,49,299
143324,64511,49,40,103,354,113461,71609,62,83,158,214,49,299
163460,176184,0,0,340,170,86082,104294,12,27,472,29,62,300
947260,2902514,97,24,175,244,658957,3491576,86,31,212,31,73,301
