"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
472643,281823,50,92,110,269,323481,256983,37,84,199,65,72,170
212821,80677,38,83,43,368,148774,71552,40,86,54,139,62,173
90312,22009,14,0,134,274,83735,31116,46,15,154,6,36,175
237894,12381,27,18,31,297,210269,16181,35,10,86,61,51,180
220991,31356,0,16,107,268,182486,35935,21,105,198,72,53,180
1146198,447670,1454,1284,4163,1375,651739,300960,664,602,2138,1494,91,181
439531,385140,0,137,102,524,217992,293747,11,71,237,229,97,183
1090442,1781338,227,166,301,230,543107,1257287,123,101,208,405,126,184
583179,456106,130,0,121,466,352139,205685,59,61,351,261,102,186
3364095,850189,1393,1081,3007,240,1813601,932060,834,579,2123,417,111,186
231988,49580,1964,1145,2370,1416,222322,64142,1649,958,2410,1336,48,189
143697,6055,17,61,232,277,128878,8934,48,70,231,22,44,190
182179,84881,0,81,104,351,164830,106634,13,67,180,226,47,191
120226,128768,40,59,94,305,97141,163436,37,104,161,120,45,191
536994,316974,19,2,40,259,474051,396225,61,76,98,83,60,192
206370,760595,6620,4095,8529,1040,169616,1000282,5871,3501,7611,1382,50,192
198628,85850,51,60,85,415,150256,102732,46,65,111,248,55,192
213150,17230,481,572,2170,654,200936,21755,538,489,1952,897,48,193
478630,7963,35,16,171,311,467878,11440,82,92,156,139,56,194
615227,16728,1,98,38,227,291070,10575,47,50,64,38,106,200
414473,274285,25,123,93,295,274308,314355,45,106,192,130,68,201
111965,10694,826,466,1460,737,107602,14236,813,474,1290,906,38,201
163820,69374,29,16,35,271,152352,82958,51,30,98,12,45,201
297714,31887,51,114,104,205,262028,38610,61,76,99,200,54,203
179855,14969,59,71,292,149,175604,20318,55,62,259,28,44,203
469249,91010,0,16,73,311,390751,98720,0,62,215,131,66,204
204629,58998,39,16,43,207,177003,72732,52,45,104,1,49,206
179804,14887,75,85,79,203,161138,18372,43,97,226,61,46,207
185142,21959,7,48,154,483,150693,24518,28,43,145,293,49,208
692909,69948,131,196,652,181,666480,86304,102,163,574,309,61,209
83925,14459,679,246,954,0,80997,21430,663,288,1035,90,34,213
91703,27928,253,151,679,526,84579,36714,321,135,595,432,35,217
262223,50202,118,125,129,226,206815,51857,99,68,122,0,57,218
265160,17777,61,112,199,287,250805,21564,35,110,249,220,50,222
370836,19105,35,49,12,297,354890,25127,61,85,73,77,55,227
200025,12662,2,29,42,302,184683,16732,41,89,58,104,47,227
285695,396910,9518,5286,10602,180,237047,453216,7297,4054,8475,809,55,228
1992357,4231432,2516,1297,2424,1305,1399259,4025896,1202,589,1033,1024,98,229
92690,9083,14,41,201,243,91714,14658,27,60,160,13,35,232
1341618,261450,32,132,393,514,846527,211123,40,64,321,177,98,235
167096,66399,27,33,27,215,145964,85351,43,45,69,0,46,235
136674,150833,248,85,120,288,121073,200807,211,63,115,49,43,235
118696,24435,623,371,585,181,114810,32254,524,331,598,104,39,236
255500,224683,927,545,1171,456,227949,278220,792,425,1246,481,52,236
104744,181894,28,49,100,274,87306,221864,30,68,98,23,40,236
581966,123173,0,95,0,433,446012,104098,29,84,83,318,76,237
116627,78545,1530,830,1475,317,108920,103937,1388,654,1655,355,40,237
845874,880556,7014,5523,12227,241,787273,1121193,6404,4866,10037,363,63,238
99513,33844,0,48,84,240,82639,42458,20,111,13,26,40,238
8215644,6710208,1513,849,1139,660,4209952,5659896,759,533,754,769,116,240
133534,463808,0,0,11,424,118091,585744,0,76,17,174,43,240
402188,41830,3300,3906,12552,677,187887,24971,1225,1335,4102,1258,103,240
433031,119461,16,61,96,558,383746,142141,38,84,90,241,59,241
137747,24182,18,0,0,297,107431,28033,26,10,0,32,46,242
166523,11718,6,7,101,247,156759,15200,8,12,231,17,45,244
760656,82667,51,0,261,318,533128,80770,39,52,276,102,76,246
186989,489512,19,28,118,472,89886,304500,30,97,45,244,76,247
258882,127428,30,82,71,278,103474,51251,76,69,96,77,73,247
207485,11598,29,76,4,254,200144,15659,87,50,76,60,48,251
511936,32515,30,77,61,305,488462,41325,40,109,55,136,59,252
158123,5886,2,33,77,339,148503,9030,27,32,190,181,44,255
184976,25645,8,39,165,334,120542,23761,40,97,114,120,60,255
278618,23165,0,0,0,197,110886,12138,45,92,0,22,97,256
190731,279414,1103,592,1107,341,174320,363703,968,554,1284,256,47,259
320012,239327,6212,3316,5441,675,301436,309575,5227,2578,5500,452,53,261
325882,68561,13,91,155,148,225149,64908,34,141,201,83,63,262
195829,28837,2532,1646,3318,39,188927,38112,2267,1250,3188,959,46,266
214782,419588,259,193,313,287,176580,407996,165,137,204,178,55,268
760627,442704,25300,13703,19958,6909,673195,503299,19095,10172,15778,5029,66,269
355114,477909,4076,2929,6667,1309,311976,604832,3558,2388,5136,1875,55,272
242178,31675,48,0,38,176,192912,35525,47,44,125,21,55,272
448077,135601,43,0,117,552,206128,73345,70,0,76,291,88,273
608903,386347,14,0,117,392,497351,414516,37,56,158,214,72,274
175212,16913,48,25,208,285,166330,23940,39,48,258,31,45,275
244476,85205,437,297,640,15,235679,106627,460,291,773,85,49,276
587315,1427031,200,170,291,424,210384,449012,83,93,252,159,143,277
293859,28187,91,62,199,175,287125,35981,65,97,80,74,50,278
149674,19387,1655,976,2107,1198,137978,27121,1576,836,2273,779,43,278
750390,2715258,42131,25391,50274,0,499491,2639051,28238,16703,37586,2668,77,279
266474,243246,19,27,73,254,203015,217152,48,57,95,13,69,279
98047,13057,407,323,473,583,93837,17687,399,297,359,755,36,280
383667,508097,5043,3054,6361,688,371197,648543,4623,2718,5723,1285,55,280
516206,40552,34,0,133,395,308473,31402,39,25,204,222,86,280
128328,19739,17,55,124,269,109856,23685,37,84,230,35,43,281
542328,533030,77,133,206,241,524730,710159,88,110,160,10,58,283
173936,214051,0,12,135,321,92688,149088,49,42,194,59,65,284
184596,30315,29,19,140,470,173214,41510,27,56,146,372,45,285
391695,789323,8640,5417,12675,1559,316357,959062,7639,4691,11050,911,59,286
429325,1271200,40,0,201,250,183894,963113,67,38,258,131,96,287
1445840,178825,30,100,72,234,1268748,194089,35,80,93,208,75,288
428867,99358,12,0,63,252,216538,63037,54,39,88,23,94,289
117970,13770,20,0,80,240,101445,17785,34,41,111,17,42,291
122889,75605,8,62,127,480,110677,95847,26,87,273,244,42,293
859659,128721,24,6,56,240,636083,125967,47,57,146,25,75,293
478663,351955,1596,985,2525,285,439348,429647,1313,823,2443,934,58,294
179143,58112,1106,645,1487,575,173192,79301,940,603,1016,939,45,295
516406,43633,38,17,80,282,431050,50729,63,32,115,30,62,300
228635,65536,18,58,0,245,192453,77089,31,57,0,20,53,300
96754,4499,0,25,59,278,90688,6482,5,39,51,17,36,305
113618,19930,62,1,78,469,80810,20440,68,27,83,212,45,305
759031,1070549,209,122,227,465,209109,305725,83,87,136,178,168,305
173976,38473,28,150,31,214,148547,46123,30,123,12,6,48,306
438032,72706,20,56,174,304,360043,65829,31,53,164,73,68,308
258940,22323,28,66,77,458,190088,23501,22,102,99,348,59,308
544978,625187,43,124,243,355,118231,137550,50,84,245,178,176,311
301161,23820,40,70,48,183,240024,23093,34,70,29,23,60,314
137475,118868,1725,924,2275,420,130199,155666,1479,959,2255,309,41,315
388868,63854,20,60,45,265,359470,81484,37,69,97,34,56,316
96149,114067,504,316,790,382,90747,154037,483,264,813,240,36,317
137367,81421,843,465,943,319,131226,107931,800,391,617,289,41,318
364717,285653,609,418,1953,436,286060,329759,434,326,1995,833,62,321
433191,337752,117,30,116,259,256318,291911,86,76,219,191,86,321
809944,160115,24,24,54,200,675857,189100,28,84,78,11,66,321
231497,84745,23,29,209,278,212302,109803,50,42,299,49,50,322
101617,12871,1099,618,734,557,92814,16894,1074,550,816,271,37,322
124517,66952,1236,727,1551,174,116429,87300,1080,578,1275,138,40,326
307193,49788,0,44,42,287,274487,60859,29,63,45,95,55,326
1431091,474733,105,165,272,371,724934,329662,86,99,263,259,101,328
167297,58707,19,102,105,185,120024,64808,21,51,214,6,51,330
186468,22985,20,38,17,259,161246,26751,15,29,55,10,49,330
337363,15978,29,74,214,365,196921,16817,24,88,214,191,76,331
369725,28401,52,9,186,253,353285,35752,61,25,323,10,55,332
602531,59222,2723,1998,3097,731,584839,70744,2251,1537,2933,922,60,333
376336,26538,0,82,52,235,345582,33535,17,60,73,0,55,333
2151988,2500558,204,133,371,367,1224307,1573881,141,88,214,215,109,335
215712,58504,0,18,121,329,184399,74355,18,57,202,157,51,335
188969,54387,996,698,1133,183,179898,72395,991,533,1200,155,46,335
291008,41361,2584,732,4422,461,271858,51721,2186,593,4387,774,52,340
380817,233897,3025,2306,4804,83,370264,296598,2455,2190,4717,527,54,343
202782,288015,3637,2538,6741,2813,179474,373878,3246,2130,5726,2976,49,347
133900,22237,19,40,35,387,98627,23215,32,53,36,154,50,348
389739,313264,173,182,209,529,351410,400705,171,119,309,174,56,349
642467,51442,120,185,495,426,631360,64656,138,138,470,175,59,349
658113,112438,75,59,0,314,600134,137002,101,51,43,82,63,352
138972,161877,38,20,29,302,83966,104197,29,42,14,16,29,352
968406,395885,15078,8650,13124,3553,884662,474322,12666,7027,12914,3149,67,352
601578,112384,0,125,232,301,443965,103552,45,84,246,95,76,355
314692,96455,29,6,101,420,278502,116900,66,32,131,202,55,357
113814,38938,387,182,1098,380,95850,44214,317,146,719,335,44,357
150047,98308,25,69,30,314,106607,93561,55,78,71,92,52,358
2174040,1182112,251,69,357,643,884038,841654,129,62,390,303,137,358
