"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
186737,24013,4,38,64,240,169277,29197,21,52,75,3,47,187
771979,289926,2959,2163,4223,985,768493,379007,2964,2039,3658,1006,60,187
172526,74462,564,315,1007,603,169121,101450,499,223,867,690,44,187
282454,404817,43,127,414,567,99120,224303,28,137,375,380,108,192
346428,37454,2154,1351,2417,1008,345437,42926,1820,1264,2045,1295,52,192
184186,18872,28,1,78,346,136692,18866,20,26,146,117,55,193
99130,54326,51,0,152,318,83050,71588,47,35,126,74,39,195
87197,5489,40,43,118,392,81553,7063,46,98,115,167,35,195
1871048,77432,68,130,56,247,1739941,97071,53,85,167,120,71,197
309950,43239,61,0,0,351,234567,36164,54,53,9,151,65,197
120249,13650,25,43,96,297,115164,17134,41,75,176,110,40,200
108516,51894,45,64,39,240,94301,67328,33,58,105,0,40,206
169636,79191,283,183,1248,930,152394,97751,256,211,921,917,47,209
198444,45302,983,614,1293,0,196023,60087,760,479,1338,476,46,209
148297,75703,58,126,283,330,96113,63236,53,120,133,156,53,210
892337,198610,225,154,274,340,843240,241258,160,160,322,308,64,211
106001,5748,13,34,318,291,95386,8477,23,18,283,40,38,211
3922030,451668,128,136,276,549,3089151,466314,88,111,213,437,89,213
105783,135817,9485,5454,11108,1644,93305,176452,8374,5053,10737,2197,39,214
3984069,6568558,40973,21668,43523,14521,1432202,2664471,10194,5317,11217,4520,182,215
970694,23098,9,0,111,423,715535,20943,15,23,174,190,83,216
311593,91440,289,376,1083,488,245742,92195,199,287,735,419,61,216
149438,176281,76,3,48,208,148095,231101,61,52,200,11,42,226
180695,77306,23,57,34,288,121983,64317,67,67,167,223,57,234
247012,345443,0,100,133,388,112994,232851,33,79,138,218,86,237
183836,173466,19,28,71,293,165469,216616,65,20,152,108,47,237
1937438,134145,56,0,110,361,1590547,130114,75,57,72,97,81,239
116727,26477,19,0,97,265,88545,26672,36,49,81,56,46,241
1203935,70031,37,69,118,444,874425,68871,26,118,124,388,79,241
16777215,13235223,97900,62051,109029,19917,5617813,5072282,26951,16298,30360,13453,182,241
598985,393014,150,141,229,336,487697,480192,90,128,199,185,67,242
182023,125726,77,40,50,259,120206,136173,64,104,185,19,57,243
9259352,9103577,117620,71771,151311,8773,3497740,4378829,44194,27871,58537,9448,192,244
691839,68250,40,28,124,278,664596,84866,73,33,248,147,61,252
206340,132714,63,85,16,164,137953,96671,31,94,66,202,60,253
396775,693528,87,166,240,492,147885,302085,68,64,466,216,118,253
270787,1002395,79,154,81,360,82828,330872,125,98,114,111,55,253
152756,8172,2,0,147,252,136230,11816,16,14,331,18,44,254
126659,42334,0,50,79,323,112120,48555,28,43,65,131,41,256
167704,16624,19,60,160,246,155568,21820,27,69,138,1,44,257
353250,248149,53,18,56,536,259470,230980,60,98,33,358,61,260
356165,152134,29,99,3,361,249149,158890,59,147,66,153,66,261
276546,52259,90,36,243,231,187436,39400,63,48,174,102,71,264
162259,29584,64,99,39,270,154162,37540,61,71,19,25,44,264
537241,339484,377,408,1128,728,350021,333003,217,348,1046,409,73,267
1140615,735650,30,116,89,252,611645,320441,37,66,215,81,131,270
141714,21840,87,135,119,264,89592,21597,65,82,113,20,58,271
270238,271210,97,3,118,303,153593,201658,73,59,163,163,81,271
128119,15807,42,52,132,328,120277,20945,57,51,221,104,41,272
264880,516541,37,0,296,307,93565,257157,45,56,170,56,90,272
279002,391369,91,78,197,320,85206,145069,73,62,196,95,107,273
101360,108574,0,34,126,230,85171,142143,27,121,157,181,40,274
1505946,380822,141,144,475,384,799971,260913,87,118,369,192,98,275
754993,168734,32,93,225,434,591119,153004,47,118,231,183,80,277
117035,49064,38,47,211,244,91863,40990,43,73,204,105,49,278
91416,8568,48,16,45,229,87464,11384,33,20,109,0,35,280
192524,94381,116,135,226,454,179683,122842,113,102,138,315,47,280
224096,254361,65,0,56,277,144247,156536,34,26,31,216,56,282
368005,266663,7,48,0,292,177463,121342,53,88,134,155,111,282
1326532,1596803,29,231,82,178,401280,546501,119,95,168,114,228,282
143575,38723,2,33,26,269,131243,51273,19,47,99,53,43,286
436067,191180,98,58,263,352,284355,153131,89,84,264,127,78,286
697029,81769,118,7,771,373,661238,75226,112,30,625,174,61,289
224274,45586,2699,1287,2874,345,211827,58727,2447,1154,3120,746,49,289
136124,39178,0,130,60,348,120354,49444,7,137,203,158,43,291
143503,24121,49,75,213,305,135582,31077,96,132,219,124,42,294
109640,30630,0,58,22,276,90026,35772,15,146,14,19,41,296
136050,13895,58,45,0,309,113155,17479,84,44,0,34,44,300
151826,3486,55,40,117,340,146280,5124,51,67,142,169,43,304
216143,40425,23,72,212,432,189921,51330,91,50,176,335,50,305
92684,78281,0,0,4,280,87552,103629,14,3,58,40,36,308
132405,94603,55,67,78,277,94039,92090,47,92,95,110,49,310
271111,21412,28,8,71,326,259421,26334,49,35,52,73,51,310
262043,83820,60,17,27,286,241375,105171,67,16,42,77,51,312
491126,333689,39,0,255,462,278079,218704,95,30,388,234,92,313
119013,11300,222,177,1497,474,101124,14425,233,139,1374,277,42,313
329070,121356,607,290,1033,467,318410,154451,651,299,991,529,53,314
1519393,4385690,2055,2187,2259,97,725139,2535050,852,1001,944,748,129,314
181896,79455,84,14,99,368,148817,86157,101,35,141,173,52,315
151814,93782,29,91,33,285,105952,85576,85,90,0,46,53,316
298812,18821,48,86,0,219,133836,11782,42,61,44,20,89,318
159225,162184,11,58,0,263,98008,114962,37,85,2,55,63,318
458377,69458,30,26,253,355,410927,75278,56,30,260,210,62,319
619741,35254,43,45,49,312,533630,38751,92,104,140,150,66,319
170619,14592,32,33,75,222,152777,18609,34,83,111,0,45,320
355752,171416,34,111,226,409,239059,190801,60,135,257,152,64,332
387345,247124,749,622,2513,1122,231605,237131,437,360,1831,764,71,336
1043728,344126,27,47,157,337,825860,403609,36,68,152,146,69,337
394848,351896,97,49,337,336,199952,99187,75,69,201,60,86,338
520499,85163,0,6,0,217,285922,40776,33,86,76,2,89,339
299440,60308,2,78,21,234,120034,34454,64,108,213,45,94,341
422175,271049,0,73,32,316,399338,352918,19,131,112,164,56,346
163783,76658,24,81,114,324,123962,80458,37,63,146,38,51,349
1244511,245474,711,510,1798,762,1057878,207546,413,283,1686,542,81,351
182766,2377,3,98,174,254,102314,2474,43,108,173,62,66,355
555584,699612,45,63,138,472,268837,312190,53,67,230,216,115,359
198778,12055,37,26,189,338,184777,15759,42,44,184,180,47,359
441907,543666,132,33,250,468,181561,280791,72,56,171,166,93,360
291307,514580,61,22,344,77,114057,294394,54,54,231,26,101,360
272552,402081,110,19,39,172,84446,151052,47,64,196,182,116,362
522918,93893,111,84,728,229,507736,120097,123,47,527,361,57,363
983202,1111852,28,130,186,181,280597,464852,48,86,162,225,215,365
209163,1181918,37,36,337,394,201423,1526744,33,37,381,265,47,366
423302,3629,14,0,90,225,271318,5352,31,46,109,27,70,367
314041,48637,2245,1246,2084,898,307316,60509,2094,1029,1487,764,51,368
299257,41573,27,0,288,199,141170,29130,28,89,101,3,91,372
368499,524299,30,109,144,150,271691,590324,21,126,115,127,63,372
435616,120884,6,73,127,253,364044,132340,15,32,118,15,64,378
1285050,30651,43,163,91,260,885763,27948,43,109,131,87,89,379
295945,528895,28,12,0,285,252650,694192,32,55,23,107,54,388
115152,87274,4,0,37,222,94209,81494,29,117,60,7,39,390
366570,434651,115,39,55,288,140700,214130,113,94,155,187,128,391
133183,69359,3,57,89,234,110132,78223,33,30,78,26,50,392
142157,36611,71,117,75,284,106270,36522,19,91,66,18,49,392
126558,68851,47,63,34,262,82793,63999,68,134,48,15,51,396
182447,30607,6,125,83,314,171784,41268,23,98,187,160,46,405
516852,774516,59,94,64,404,157962,332958,65,89,105,256,133,405
146939,0,1693,416,655,245,140133,5192,1483,439,961,168,42,405
1368703,3411216,115,59,326,160,284536,491355,105,93,306,245,352,407
171130,251230,54,79,81,330,84087,93903,49,51,117,103,65,408
393418,40297,4156,586,280,147,326831,43097,3281,393,289,148,60,408
408014,231431,890,809,2986,817,293313,222314,567,422,2506,1145,68,409
318140,192762,68,73,0,474,183162,171708,59,82,0,282,70,417
568336,701705,35,178,350,738,190653,331440,50,118,209,298,127,418
394465,286516,0,64,141,367,209937,195907,51,53,154,141,77,420
273594,18456,7,0,41,140,236316,22834,24,13,79,86,54,420
120513,8772,30,13,255,185,112271,11398,22,9,209,90,39,425
135549,33884,79,38,102,201,123188,42518,82,73,86,0,42,426
602878,102560,616,471,4600,522,541427,124278,532,457,3932,286,62,426
447144,115919,92,108,174,71,436630,149505,116,49,352,17,56,428
124244,16570,18,0,59,250,113619,21455,19,4,92,22,40,430
133154,91967,9,81,0,248,86386,75559,36,58,9,23,52,431
636572,286949,11492,7333,12051,825,522394,341731,8996,5809,10571,1312,68,433
930474,418377,23,24,29,468,576808,298337,45,101,129,248,106,435
151217,8012,35,2,19,291,145334,10892,45,18,52,64,42,437
205572,94304,30,129,28,346,120059,88423,41,81,182,142,67,437
316544,602177,16,47,133,314,100530,224621,37,45,129,106,139,437
136980,17582,61,38,48,264,98646,15958,66,46,52,12,51,440
130973,55763,24,52,198,290,107513,60938,35,73,212,88,44,443
1321061,21895,3,142,0,501,713460,15985,67,166,41,189,119,445
337009,107381,58,63,0,393,289629,126014,66,38,43,209,57,449
293642,1686,51,60,75,242,174398,3672,65,72,64,38,66,449
764178,299102,1733,2228,4670,0,636406,331226,1407,1644,4213,522,70,451
349940,379984,3,0,249,252,229789,345644,22,71,194,30,74,456
168246,241169,92,31,152,176,102694,56795,26,119,111,45,47,457
158400,120123,66,55,116,273,81509,81355,68,112,155,32,63,458
189525,45982,70,75,1,341,153028,55872,73,71,60,165,49,458
205964,5402,337,202,326,191,194790,9697,311,192,371,6,48,458
220516,27423,105,50,352,335,215704,38085,113,85,354,266,47,460
328557,162596,357,469,1487,430,282363,183291,288,316,1038,318,55,462
185507,244792,35,85,202,353,106154,112440,57,45,278,162,75,462
320760,62227,66,8,94,403,289244,79439,50,71,111,167,54,464
770702,35382,111,47,295,302,668388,39199,87,65,332,102,66,464
233185,733402,12,176,147,168,87798,300632,39,111,61,71,76,470
252005,422783,30,132,168,526,103866,150829,38,124,192,298,85,470
206032,196241,56,82,159,315,118574,135221,34,144,261,149,82,472
237282,413089,112,108,0,443,107571,143530,31,45,104,21,46,475
255907,329971,34,13,34,219,128300,218441,62,43,133,20,79,476
795811,489777,32,12,18,378,476168,356399,45,51,71,160,95,477
399618,36712,54,0,126,177,358412,41068,82,79,157,0,58,485
102708,51364,43,39,0,310,94377,68383,48,22,14,82,38,490
362175,60397,8,45,158,291,234371,47213,43,92,160,102,74,493
474473,163723,470,287,6891,1193,449969,210084,492,244,7589,1207,58,494
451795,628818,0,0,247,338,189249,435935,36,76,160,88,117,495
5793154,1088953,46166,31573,103923,0,3956771,964571,28042,18573,68617,1273,106,496
574701,713739,24,0,136,347,465640,828172,38,107,309,142,66,497
2207610,747626,95,140,351,575,1671463,695559,108,98,444,374,91,498
176361,42446,172,136,300,1468,164580,54567,165,156,236,975,46,499
213504,295915,0,94,6,352,106735,247074,12,59,97,142,72,499
934531,220144,1218,1381,13248,1012,817675,255252,918,1039,11892,494,68,500
198769,441654,53,70,204,543,177756,566481,53,161,234,272,47,502
221647,224051,0,0,251,337,105182,105548,26,124,217,92,63,504
281475,27896,56,0,89,469,251473,33551,33,25,164,251,53,505
586131,229524,1912,1353,2408,1264,535699,253932,1472,1107,1874,887,63,510
153490,147854,4,21,22,286,84506,95533,25,50,118,59,71,513
529665,52098,80,156,615,413,515147,69430,80,149,576,225,57,514
831186,196765,914,707,1020,295,538245,184864,589,472,828,137,79,519
120252,66705,18,49,8,308,83901,56807,11,45,28,103,44,522
208169,340522,65,68,142,257,93424,216534,47,75,190,71,75,523
104491,123292,4,23,3,266,81461,104928,30,34,69,74,39,524
1275624,130055,733,490,1214,1943,1194829,157425,519,369,837,1095,69,526
390976,427237,133,83,165,389,96088,113420,78,86,156,215,169,528
