"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
1713896,1460595,11104,6076,17323,2302,1467682,1656241,8860,4236,13846,3334,74,145
525466,409152,2495,1611,3481,988,498252,509483,2048,1510,2918,727,59,146
712456,29446,710,241,153,457,693552,37822,612,168,138,319,60,146
160641,41530,371,99,460,277,155534,54749,411,140,390,258,43,146
207792,96767,1193,975,1830,343,190174,126159,1014,778,1389,733,49,146
306669,528568,10485,5335,12267,1387,267293,664159,9049,4606,10415,2580,55,147
591138,37918,62,81,294,374,582355,48782,102,72,224,218,59,148
169862,83182,352,263,667,377,165451,109998,332,262,802,243,44,148
85559,27563,207,201,381,390,81875,37458,205,247,405,162,33,149
732670,1075377,288,34,186,188,319222,689372,144,77,173,84,108,149
685568,2492137,21576,13826,38324,0,539973,2930109,18356,10877,33337,6350,65,149
726591,68222,29,74,40,112,706351,85419,72,119,83,66,61,149
392405,1074198,5641,3087,8264,2241,347215,1335275,4420,2392,7606,2472,58,149
354103,126988,3535,3142,6728,753,314898,155898,2859,2498,5889,796,58,150
319206,38448,2378,1249,3666,0,312132,49549,2072,1220,3266,614,51,150
125619,164531,249,264,748,203,120466,216911,217,281,764,129,40,150
145721,20645,290,165,354,619,140995,26113,332,116,357,483,42,151
391029,7287,3722,1063,1564,247,374988,11648,3174,923,1385,424,54,152
1257929,11625556,169428,102693,208599,15208,722575,11634241,113049,68191,144630,16188,82,152
358395,48866,330,162,249,301,351540,59306,230,122,302,81,53,153
428170,82809,2005,1137,2252,324,424949,106958,1990,1136,1928,458,55,154
95121,64629,65,92,339,433,86105,81301,62,113,443,301,36,154
325821,87226,2686,1817,3457,358,317149,113214,2276,1358,2916,660,53,154
1033088,468310,9958,8868,21022,902,884094,591058,7882,6620,16771,3115,69,154
573914,296341,0,30,243,231,371497,263806,42,65,168,24,82,154
99170,52352,269,267,318,391,92980,68583,300,238,390,593,37,154
225361,374984,238,226,707,418,216064,488799,221,191,579,365,48,155
757562,103142,262,210,707,765,723464,126891,180,155,966,609,62,155
611997,75952,4162,2018,3985,0,595329,98452,3875,1612,3325,487,59,155
1048267,2168478,2492,2065,7386,375,833153,2499203,1915,1562,6299,663,70,156
608380,1367724,182,38,273,53,194251,365487,78,68,262,65,181,156
344730,1000072,25,68,0,313,177412,858185,36,59,6,105,79,156
89432,10041,533,439,742,410,84000,14186,449,301,712,395,36,157
885964,632330,13016,6642,14255,1257,770298,767116,10277,5228,11432,1724,67,157
636909,65097,61,116,392,335,613671,84658,97,87,325,264,60,157
161084,59070,372,287,665,31,150139,76021,274,270,529,88,43,158
615577,157851,2099,1098,2525,527,584934,195349,1885,1019,1895,452,61,158
422668,472555,10408,5401,10291,1615,368121,584140,8785,4478,9800,2108,58,158
284645,160907,509,448,1292,1062,223387,187957,311,334,1105,627,58,158
221527,23599,1258,989,1798,646,212637,29415,1113,812,2249,1123,48,159
311141,88733,1098,808,2335,1062,302244,115203,993,814,2077,941,52,159
360584,22396,80,21,201,445,351212,29318,76,83,186,350,54,159
139267,3682,0,0,37,253,130643,5706,27,0,55,29,42,160
244453,118579,934,694,1786,200,108312,69414,331,279,838,338,90,160
270838,205082,4123,2437,3857,133,262536,256096,3591,1924,3383,473,51,160
196833,27938,141,185,324,195,186300,35468,125,97,371,63,46,160
508519,673166,5490,3202,8380,720,429487,796902,4129,2588,7060,714,62,160
89861,8231,48,37,0,293,85229,11924,92,57,10,128,35,160
