"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
150428,32289,74,151,2580,720,141121,41234,90,105,2100,496,43,161
249041,35335,257,104,469,333,249337,44627,245,97,436,187,48,162
218503,17269,91,22,221,179,206384,22010,66,34,271,93,47,162
1344559,54433,52,108,124,234,1202807,60371,36,90,145,20,72,162
130040,6861,1041,568,1478,292,127579,12340,1024,530,1576,175,40,162
95202,1986,47,85,449,357,88999,3284,66,59,465,204,35,163
785542,809506,632,916,2693,905,662667,1004736,471,679,1940,1370,65,164
2572094,68424,30,175,0,186,1817047,66510,28,100,0,5,95,165
148889,63547,126,46,315,154,126611,80492,145,68,322,53,46,169
103978,102131,1188,815,1847,752,100472,140570,1252,703,2053,835,37,169
132726,7524,70,27,109,158,130788,11072,58,70,131,18,40,170
149530,19034,71,48,148,339,146538,24733,65,84,198,95,42,173
9216386,16777215,86715,55584,108785,40145,2616345,9631974,23600,14108,29810,13770,192,173
195240,131667,448,395,1009,324,177822,170744,364,251,822,240,47,173
149157,21074,66,44,128,224,141663,29479,91,32,80,80,43,175
994127,263871,195450,33621,12931,0,971540,347065,175334,30708,11441,1443,64,176
95698,19173,40,63,9,259,91575,25009,38,105,19,84,35,177
260390,918990,65,42,0,238,181851,883444,98,56,77,12,64,178
690407,116103,180,134,86,374,659681,144226,213,87,134,228,61,179
127635,13658,246,126,50,242,125030,18477,200,127,20,56,40,181
793252,96361,1772,1449,2972,659,743497,119668,1702,1234,2845,747,63,182
161263,3393,21,0,67,291,113359,3407,34,43,155,10,51,182
148214,126695,370,366,2136,434,104166,127389,264,211,1667,562,52,183
167968,66321,731,669,1176,518,162312,85648,695,578,956,541,45,184
397319,281391,1374,915,2105,0,389897,373808,1237,753,1608,17,54,184
236827,69343,1475,1032,2515,357,222889,88304,1220,945,2184,181,48,185
90363,29327,213,92,86,250,85752,38487,170,66,136,119,35,186
397237,621311,5118,3198,8723,435,367165,788868,4331,2873,7453,969,56,187
466732,1294489,1271,1135,2743,1190,442104,1672316,1201,1000,2718,818,57,187
219506,28984,431,274,938,901,211013,35974,408,201,1142,978,47,187
210175,342879,982,638,1471,1093,208321,467857,1030,426,1304,978,46,188
534461,174464,918,477,742,302,349717,175593,621,206,391,178,88,189
143887,16292,66,170,602,592,136936,20687,73,141,413,356,42,189
348700,172144,303,291,1313,581,290496,201607,190,227,1164,272,56,190
867310,18667,0,74,166,228,226701,7367,37,63,163,217,182,191
1057449,328388,1322,1215,5872,1254,911152,392676,1080,974,4907,1103,70,191
210097,89831,231,172,734,460,182101,106142,152,147,606,205,49,193
206991,121475,3321,2134,3350,237,204733,165491,3435,1997,3510,261,46,193
323794,174582,2382,1243,1796,274,318442,224277,2206,1060,1984,728,52,195
91390,7313,73,98,89,348,80717,7249,81,124,86,95,37,196
449635,33754,29,94,166,308,425326,43454,38,71,231,63,56,197
322859,46696,668,145,130,339,312691,60823,679,122,153,105,52,198
187515,10093,779,814,1340,879,170797,12178,667,579,1158,814,47,201
116525,13826,1097,682,887,876,113778,17623,1222,617,902,805,38,204
446122,64121,641,583,2089,593,431817,79186,655,596,1817,357,56,205
108530,4094,32,151,48,226,105998,6111,21,124,122,42,37,205
109381,12639,64,9,56,285,105609,17116,51,48,50,58,37,206
155979,444475,1799,1141,2684,918,139304,563285,1669,983,2612,1695,44,208
188823,29763,108,199,985,548,183358,39879,123,199,925,666,46,210
647087,49189,152,125,552,521,630167,63873,120,82,601,394,59,210
1285777,343829,23,16,5,366,824981,287152,28,60,115,130,95,211
96258,2345,34,48,72,321,89730,4219,57,45,105,169,37,211
96540,12434,128,140,1277,389,91933,16375,119,100,1535,259,36,212
724975,351880,5811,5025,15835,1610,688488,418554,4942,4223,14213,2098,62,212
745772,56894,3990,2972,5038,845,746166,69760,3789,2633,4594,1186,61,213
823304,79818,69,84,146,415,816955,103113,98,86,171,360,61,213
185398,27996,645,208,1656,93,168668,38609,516,268,1637,52,47,214
276366,157994,1572,803,2607,641,267289,207857,1363,630,2233,504,50,214
789887,27404,132,79,582,329,759294,34071,104,80,452,259,63,214
109461,12792,12,34,111,353,98324,15487,27,52,148,173,40,215
574840,43244,1363,802,1430,967,563806,54331,1137,643,1197,789,58,216
554222,39970,191,192,788,675,540725,48984,182,173,808,852,58,219
161318,102905,413,352,1486,686,128317,103540,272,263,1134,563,47,220
365747,62489,162,114,1414,231,354805,78929,179,126,1165,274,54,220
143775,193757,2546,1536,2480,788,131882,254640,2223,1270,2194,586,42,222
390233,160741,283,374,2276,988,303768,185261,212,324,1942,1168,61,223
89717,41416,959,702,1211,1057,84685,55325,824,713,1183,1083,34,225
179451,15506,157,0,84,432,129837,17406,77,58,83,193,49,225
952652,45074,187,59,215,338,912764,55109,169,65,190,192,64,226
309606,21608,138,72,0,172,243383,18357,200,79,139,91,58,228
129829,28079,68,83,0,371,86797,27950,42,41,10,89,47,229
93630,21112,90,101,476,342,83738,26680,98,87,384,152,37,231
891744,230091,348,527,2236,1057,736281,277133,300,431,1826,539,65,232
437201,10572,84,0,67,272,254820,9040,40,18,130,84,83,232
112823,30339,29,103,547,766,106805,40575,39,68,580,498,38,235
2383161,58134,0,0,195,253,604340,22144,37,48,203,196,228,236
226953,95972,1445,835,1668,882,225529,126728,1122,760,1780,693,48,239
150561,33618,71,103,1639,304,139168,45071,110,77,1686,249,43,239
1006376,1964339,7339,3939,11976,1252,949172,2453605,6370,3492,11097,921,66,239
117722,18023,45,65,359,338,113774,23910,93,106,344,372,39,240
655545,393640,1181,1172,6162,833,419025,344581,782,641,4141,1007,79,240
408852,42262,3,144,116,240,94162,12312,54,111,102,224,150,240
101484,12812,808,573,1901,474,93269,17918,657,490,1707,346,37,242
113812,43498,1222,702,1171,782,107950,59115,1086,644,1158,428,38,242
141678,49293,551,231,1148,232,130129,62474,496,146,1135,312,42,242
145206,52583,491,254,1106,432,139571,69816,391,166,1104,187,42,242
776523,40193,116,120,553,370,738996,50629,83,86,499,276,62,243
495869,282239,3320,2237,5307,240,477658,363107,2835,1927,4370,427,57,243
140378,9191,226,90,637,343,128359,11329,202,109,785,118,42,244
152109,12502,107,49,222,291,149416,15165,113,121,242,83,43,244
866709,692750,2011,1253,3917,537,636949,655811,1459,689,2426,771,76,245
1008365,2619911,0,0,3,449,230063,1169480,50,61,163,215,239,245
2578007,2553878,153188,103484,208388,15913,1333531,2080276,93569,63291,134344,11953,101,247
83508,5594,53,18,64,305,80332,8689,39,68,101,79,33,248
609961,90294,253,225,239,191,380266,68052,179,106,211,57,89,248
232950,126084,520,365,1097,105,226889,165401,489,248,1077,278,48,248
369454,10873,8,48,39,290,358860,14039,20,100,153,71,54,250
145339,176424,516,302,943,463,137793,232556,539,314,1123,364,42,251
151318,13564,214,247,454,557,145879,18285,228,148,725,286,42,251
161474,60399,137,203,792,677,136831,78461,105,125,772,547,46,251
95138,77513,842,625,939,116,91400,105177,901,485,1199,428,35,252
290529,41508,180,177,1066,963,276276,51991,166,173,1057,885,51,252
114796,3655,812,385,521,645,104703,5338,726,295,664,739,39,253
286113,131334,183,131,323,233,262141,169077,182,111,581,44,52,253
329869,365395,951,864,5397,1601,206667,281023,461,382,2814,1009,86,253
372638,346342,1551,939,2762,299,354628,449571,1291,786,2960,199,55,254
163329,57773,82,72,158,341,159000,77243,97,66,108,90,44,254
301312,176849,2972,1558,2932,610,282169,228984,2630,1395,2666,915,53,256
1254325,95826,111921,17856,7256,111,1185107,114082,95242,15179,6494,421,67,256
106366,6569,142,143,3756,21,91374,9197,197,183,3745,166,39,257
692653,377512,1260,684,8403,115,664423,490889,1132,601,8035,527,60,257
202189,46977,271,279,1068,526,196514,63888,269,266,921,498,46,258
1995055,2005717,25976,15804,31740,4053,1477860,2147268,16863,10298,22589,3154,85,261
2242138,16777215,228506,135990,271318,18851,1094122,13224908,101050,59971,125870,13358,117,261
246559,18865,101,108,56,461,243624,25805,68,66,141,293,48,261
826594,88928,116,181,775,615,808738,114106,155,168,873,543,62,264
294613,171504,422,374,2357,1075,200741,174860,259,209,1699,725,67,265
883952,170722,614,152,374,426,468028,149169,290,99,312,208,99,265
503174,50726,102,128,181,139,488774,64951,118,96,288,83,57,266
102044,324039,364,575,2761,1460,84266,424127,337,514,2436,1878,40,266
353789,35918,261,150,438,82,306565,38057,227,122,491,131,57,267
183664,18263,106,108,107,247,177619,25799,96,157,162,90,45,270
388774,60174,279,160,186,203,128341,41065,103,143,217,179,124,270
832878,72309,134,131,426,498,809882,90849,93,127,694,471,62,270
442974,48800,1283,776,1562,574,406182,57577,1074,582,1567,264,57,273
154551,30297,245,217,500,50,137830,39075,188,146,460,138,45,275
187074,7448,432,223,162,603,174568,9296,427,237,100,835,46,276
248224,94875,118,248,1189,763,187849,93738,123,146,1148,677,58,277
133036,26226,73,11,163,378,113460,31854,51,76,213,172,44,277
225938,161704,417,312,1138,633,217900,210054,454,284,825,481,48,277
1914202,60896,7322,1554,1825,626,1799664,74942,6193,1198,1533,715,74,278
389755,22842,169777,33531,10449,0,349909,27649,142305,29351,8868,440,57,279
253460,109153,229,176,1554,215,174185,111802,137,101,1291,443,59,280
552391,78452,854,748,1593,1273,539669,100878,766,590,1164,811,58,280
802536,488869,2335,2679,6409,933,777311,598379,2020,2222,5519,1715,63,281
178090,20567,731,736,1732,457,164986,29290,572,655,1681,444,45,282
126592,7184,42,79,0,226,116755,10006,80,88,0,13,41,283
697033,14101,76,32,66,271,510642,12567,90,44,115,17,82,283
317292,26975,819,302,438,479,297229,33186,691,221,434,235,52,283
487968,44456,3792,2309,3840,903,464775,57520,3480,2145,2713,669,58,283
1154891,23188,0,27,10,257,865912,21554,7,76,91,142,85,284
174879,10197,429,182,599,262,153164,14141,400,220,558,228,46,286
191873,96827,770,578,1391,449,182632,123120,636,543,1560,791,46,286
194194,172840,1825,964,2464,1559,186024,229868,1568,749,2696,1597,46,289
197481,102033,208,26,42,252,126640,105417,177,48,112,46,64,289
521588,282013,4233,3305,5907,102,502342,361548,3800,2714,5292,578,57,290
908872,617256,4606,2656,5479,1496,694625,686872,3718,1978,4440,1855,72,290
265122,39302,0,26,263,276,241816,48822,20,21,280,27,52,291
99668,50049,393,187,511,413,92522,66661,343,156,351,186,38,293
814060,688179,947,868,3314,1163,639977,774195,751,622,2213,966,70,295
209010,16857,11,121,115,345,197569,21640,36,123,179,174,47,295
257512,24640,61,37,307,314,237469,29769,57,27,215,76,50,296
1929015,350187,401,400,2740,1195,1681978,396803,396,277,1780,694,73,300
209290,39530,193,161,1290,0,183798,46718,127,146,1027,380,50,300
114100,107713,678,466,733,511,105414,143892,506,288,485,529,39,300
249455,34073,554,141,101,371,234521,43755,421,159,91,112,50,302
111370,36551,39,31,0,275,104117,46957,38,7,0,59,38,302
516521,39904,28,24,162,350,499535,49055,48,52,323,258,58,304
120226,2523,593,240,1240,396,110921,5035,528,154,1534,301,40,304
910271,493759,12694,7098,16050,1970,754984,524971,9933,5242,13767,2255,70,304
173973,83829,367,771,4516,226,162248,107998,243,546,4418,785,45,304
922149,17661,16,79,185,215,434453,10183,70,123,140,146,127,305
287158,113057,1353,1241,3264,53,271652,145181,1285,1123,2765,265,51,308
195317,97781,653,517,598,294,187602,127800,645,382,774,384,47,308
103897,27639,38,11,161,411,92083,37550,32,55,164,181,39,310
666135,387809,2095,1358,4697,2023,534350,410553,1676,1035,3790,1215,68,310
383897,652525,4471,2404,5547,1017,332108,816756,3685,1892,5025,1423,58,310
472318,576679,9688,6250,13478,3003,390457,660725,8171,5441,11527,2606,61,312
1022821,295420,666,186,583,85,508521,256638,271,89,389,111,116,312
196169,90465,1596,919,1657,410,186574,116429,1481,753,1477,555,47,314
139064,10865,1000,621,1231,535,135013,13797,828,532,943,493,41,315
88481,2216,21,16,295,181,81459,4168,29,34,250,107,35,315
222575,53136,27,85,0,255,215762,68439,35,50,3,20,48,315
359078,36034,2055,789,1864,1170,319377,46444,1788,672,1573,885,56,316
87680,6164,66,98,33,321,80573,7184,87,57,71,133,35,317
470262,573421,4104,2375,4444,543,391938,711264,3220,1947,3602,789,62,318
175353,43764,52,8,172,373,168666,56873,37,15,174,130,45,318
278014,17364,115,166,125,247,276473,24022,150,168,194,13,50,319
718535,534254,201,319,1021,264,680564,662864,176,294,988,236,61,319
137949,45858,53,69,42,359,93643,41990,22,80,75,117,52,319
105763,23405,45,63,169,299,89997,28924,41,52,179,38,39,320
146733,122650,598,466,814,164,134141,160752,492,419,859,224,43,321
116309,3912,80,57,385,354,105591,6878,136,49,297,241,41,323
122911,6060,14,48,122,304,118275,9642,37,63,102,169,40,323
7367239,7881064,32427,41267,90771,0,2917162,5346561,14018,19487,41671,5624,130,323
356920,56659,225,47,211,297,333419,72437,203,91,162,48,54,324
106094,6250,115,26,340,284,93821,6366,161,44,248,205,39,324
97345,6207,1014,263,81,371,88706,10123,925,176,88,220,37,326
118772,22021,1305,976,1305,914,111663,28966,1257,880,927,548,40,328
155528,9865,104,94,247,259,149106,13350,104,86,278,124,43,328
879587,399322,569,378,1767,212,681624,354411,318,280,996,126,80,329
289434,115980,376,152,689,491,267788,143520,366,154,623,555,52,330
358441,44257,2604,1951,2706,1520,345798,52802,2412,1734,2237,1097,54,330
141881,32373,3554,858,1345,227,125060,36399,2753,637,1027,262,45,330
97071,230622,127,80,480,616,87020,311125,60,64,452,406,37,330
501333,47787,106,159,603,232,481053,59001,105,96,607,131,57,330
136223,50761,104,180,690,626,121377,64844,101,123,807,577,43,332
374300,288560,8259,4037,8649,1453,329288,351497,6939,3289,7090,1440,58,333
1328902,1615281,1241,1885,9104,3382,992443,1626159,888,1453,6687,3012,76,334
110433,594,8,135,96,320,93973,2439,31,82,72,74,42,334
111831,10272,89,78,678,573,105351,12879,70,48,893,630,38,334
210599,96687,66,70,405,159,147426,93383,96,81,368,174,62,335
636833,62556,539,681,5433,1024,575724,72986,465,583,5427,1672,62,335
191295,23803,152,90,202,299,137130,23368,124,44,186,13,58,336
112753,13429,85,90,284,308,104145,19464,62,90,356,143,39,337
239320,1360,23,93,131,225,163989,2659,44,80,231,30,62,341
401348,57848,538,390,547,156,391933,67286,437,345,681,214,55,342
96157,2819,1509,434,677,164,90990,5563,1430,411,609,30,36,342
166908,8808,125,94,181,506,159536,12218,132,83,249,245,44,343
353900,33338,73,0,331,365,322745,41536,58,43,267,298,55,345
225063,97966,245,593,1445,511,149571,105891,179,532,990,358,67,346
336462,36077,13,0,0,232,220406,29020,67,107,73,49,71,346
213115,283627,1045,725,1351,641,200660,361075,1048,680,1244,336,49,347
1164901,115581,110308,16222,5231,1047,1117845,148839,98117,14107,4817,1059,67,348
303449,59115,4487,2278,4107,980,293171,78823,4107,1997,3635,814,52,348
96274,9115,97,33,39,322,90194,13661,76,58,39,98,36,348
771716,24337,1310,1207,5117,699,733690,27923,1024,1017,4420,1220,63,348
206428,67872,1457,1077,2154,514,198166,90184,1422,936,1999,367,46,349
579851,66508,169,104,336,351,556858,84369,155,49,470,275,58,351
166845,48290,195,60,207,271,80589,43277,119,67,156,310,66,351
115079,49391,37,95,163,386,105157,65518,32,87,227,306,40,351
132513,5270,2098,762,1594,85,116984,7273,1395,625,1325,284,43,352
508169,1482707,266,223,504,507,402709,1690354,267,273,382,456,63,352
255368,36354,440,327,735,456,237790,43152,376,216,1003,205,50,353
302279,10199,105,179,0,230,99145,4366,49,103,205,103,103,355
446471,380045,9506,6770,10791,2014,415042,453505,7779,5551,9943,1891,58,355
160853,3711,17,0,67,137,138052,4747,51,48,102,9,47,355
139681,199916,1136,559,1130,27,128468,265847,1068,476,881,492,42,356
611257,310818,3091,1890,4213,57,540599,394673,2604,1547,3000,418,62,358
136621,171788,777,480,1285,500,125971,232483,796,419,1381,376,41,358
426667,39598,206,118,442,557,403143,49767,177,96,487,709,56,359
730650,1216382,1005,1073,5316,819,550949,1380107,737,798,4437,1262,69,360
90863,44671,1450,956,1478,708,85862,61847,1366,797,1408,359,35,360
517653,71874,65,213,408,185,494628,80453,61,86,290,165,61,360
343506,28625,158,159,108,275,328098,37168,161,97,235,47,53,362
728169,54305,111,174,374,630,692143,69195,116,115,408,325,62,364
179389,83989,2800,2149,3743,1555,170625,113217,2393,1937,3853,1604,45,368
437991,198691,3879,2411,3424,0,430142,252047,3388,1953,3242,314,56,368
110336,3661,1056,323,527,38,106265,6902,929,345,319,56,38,369
783003,453404,962,934,5707,1624,438345,424679,625,521,3534,1201,87,369
93360,6548,322,199,199,241,88497,8661,273,201,201,46,36,370
204171,89803,2281,1666,3103,368,194859,111734,2010,1500,3356,839,47,371
223593,13238,37,36,306,361,208610,16484,78,47,198,86,48,372
416269,33711,200,106,422,499,391220,44068,222,136,391,139,56,372
425275,137810,3330,1730,3686,670,418839,175324,2964,1484,3169,549,55,373
208044,156796,3438,2184,5252,1120,197251,194589,3022,1851,4833,1066,48,374
645398,50968,200,151,505,365,608280,62380,151,131,336,152,60,375
143425,89894,1709,1010,2204,950,136875,116709,1311,815,1933,915,42,376
189826,4675,195,141,200,143,181651,5550,179,117,169,33,46,376
170940,36689,751,378,2790,778,127929,43310,666,359,2704,872,50,377
800518,32593,431,291,473,751,769938,40286,360,208,440,454,63,377
142000,24450,69,83,207,0,127990,31760,62,58,208,99,43,379
177336,96686,60,83,101,319,154164,123714,67,181,68,164,47,379
90622,19187,74,55,459,284,83523,25705,76,70,423,91,36,381
136120,46991,139,69,467,360,132246,63893,122,82,457,125,40,381
191048,46853,464,261,841,401,180669,60774,451,188,825,196,46,382
303053,3013769,0,14,99,260,167544,2659319,29,65,167,147,77,382
195755,140445,546,462,1504,0,186583,187155,500,406,1343,247,46,384
134343,12016,1001,722,1675,1319,123397,16067,897,642,1645,1269,42,385
238464,17522,320,52,108,321,223081,23493,303,55,59,54,49,385
543522,174412,412,187,215,200,231081,106537,184,101,361,191,130,385
130110,426462,113,248,982,485,113019,572756,140,149,1072,344,43,387
133161,44081,136,179,1004,462,120572,52468,159,172,1171,268,43,387
752785,16545,2,0,215,223,547399,15631,24,73,291,106,84,389
137191,4612,39,119,81,335,129448,6928,40,72,95,173,42,389
410883,50988,120,116,426,208,394436,66209,72,118,264,79,55,391
126901,40349,817,630,1061,834,119733,53985,658,539,734,633,40,393
608931,14934,0,0,95,227,465981,14532,32,63,99,19,76,394
173592,18305,396,282,1103,74,158976,23631,396,229,803,247,46,394
743744,73378,95,121,335,484,717676,91510,90,157,281,377,62,396
99985,12661,266,191,534,583,96701,16217,245,114,451,584,36,396
340767,17670,3322,954,1062,437,317382,22346,2638,809,779,482,54,398
361328,37287,1986,389,191,158,344935,47477,1878,372,256,106,54,400
243762,43774,879,927,3619,219,237271,56772,794,823,3746,386,49,400
357395,237929,125,172,993,388,296433,295275,119,148,609,163,57,401
99973,3278,1590,404,317,296,98748,5028,1550,405,333,317,37,402
266111,211737,2103,1593,3407,1305,252931,273854,1817,1354,3341,1182,50,403
117048,33084,1581,607,8129,465,109923,37773,1175,403,6915,838,37,403
678823,584369,3185,2052,4425,1060,627026,716152,2736,1368,3694,1276,62,404
145877,26994,753,716,1975,1438,138193,35118,715,632,1503,1575,42,406
266794,14595,99,0,290,173,130573,9878,70,46,205,13,81,407
575655,56302,360,103,57,337,554520,71320,406,109,202,147,59,409
155632,345941,3183,1928,4720,353,143100,449861,2903,1705,4370,481,44,409
135670,132783,2177,1278,2175,279,127174,178646,1988,1140,1966,561,42,410
679733,65050,152,106,551,252,636521,80767,181,161,405,165,62,410
172057,54379,266,262,1597,396,141420,68359,280,181,1106,507,49,411
409786,152374,5051,2806,4832,191,389554,184938,4418,2329,4613,1330,56,411
263475,79659,121,121,370,672,219112,97354,145,98,483,606,54,412
