"FSC-A","SSC-A","FL1-A","FL2-A","FL3-A","FL4-A","FSC-H","SSC-H","FL1-H","FL2-H","FL3-H","FL4-H","Width","Time"
221141,73923,210,118,360,406,189843,92589,205,79,389,259,50,366
553662,61085,54,46,466,716,558818,81041,75,78,491,385,57,366
694700,68253,169,166,2170,4739,697233,90823,141,114,2439,11938,59,366
974360,847839,2452,1970,6453,6670,802617,1038551,1988,1633,6031,5426,67,366
239358,26945,125,120,382,1707,232815,36891,167,56,525,1415,49,366
426962,41192,52,93,451,832,419129,54988,53,90,482,858,55,367
644058,49286,136,30,2601,9576,636295,61481,151,48,2341,8855,59,367
246403,95598,412,337,2163,5913,201083,115529,378,258,1575,3682,54,367
200301,94547,432,331,2359,1800,165138,106474,286,225,1527,1839,53,367
117337,14878,263,97,218,201,114293,19859,306,66,169,2,38,367
560391,1162609,2368,1402,4935,5274,326966,1008414,1767,1134,3097,2310,84,367
614044,58035,59,102,690,1214,618978,77819,83,133,694,1102,57,367
91555,13415,96,126,288,275,85587,17689,91,78,218,66,36,367
380915,83224,385,327,1787,1643,326872,96808,299,282,1370,1416,58,367
433186,438264,1065,867,3052,2834,298440,474469,817,531,2320,2639,65,368
269995,21209,80,30,445,2428,260988,36199,52,56,289,3127,50,368
220204,20562,0,97,57,610,191884,26303,26,92,40,394,49,368
217660,100526,187,257,854,717,100674,75163,180,114,518,639,84,368
645872,557151,604,501,3978,11567,425744,286093,466,299,1489,3700,97,368
155485,80682,82,40,216,354,108694,81939,41,62,223,182,57,368
718006,53785,101,181,577,2277,724092,72469,58,92,489,2445,59,368
96531,10929,101,83,306,960,92433,14472,106,64,368,791,36,368
613113,324847,1629,1438,10347,23901,316844,182235,725,712,4629,9514,110,368
389489,33144,62,126,1133,5906,379350,44231,87,101,1328,5069,54,368
449966,41156,58,137,1201,9221,446495,53381,65,113,1104,8208,54,369
271436,170969,473,515,3801,7420,153056,122076,334,338,1638,2973,80,369
344022,59517,124,115,302,511,332656,79611,95,129,284,169,53,369
94045,112742,186,177,320,85,88215,152391,164,127,375,321,36,369
264657,217757,96,138,1317,3994,247294,290665,103,126,1355,4157,49,369
775669,661251,431,282,1242,938,652235,664741,390,200,1065,895,65,369
217264,106442,431,398,1707,1721,164804,117040,335,349,1363,1411,56,369
653751,67048,89,38,1823,9932,547039,50085,53,110,2006,7468,89,369
193399,298181,182,198,985,1267,178462,384428,224,153,1425,1017,47,369
1332000,2499819,1024,672,3701,422,1119490,2851120,734,564,2330,660,72,370
918137,173245,339,398,1734,4062,887625,220512,224,280,1837,3565,63,370
505775,169640,590,333,1612,1248,457098,191249,542,258,1610,1344,59,370
138630,69042,266,182,1275,698,109884,81851,236,176,1271,678,47,370
178316,37286,99,60,80,386,166666,48478,72,145,92,160,45,370
260770,158599,595,587,2108,4398,196659,154457,442,382,1738,3516,60,370
364159,33123,18,35,585,2020,361184,41383,63,75,588,1591,53,370
119811,56419,183,273,1112,1769,94117,68010,174,158,870,850,45,370
654879,162622,1133,965,5772,9886,494709,175312,967,799,3907,6905,67,370
482913,162982,113,73,1857,8166,479791,214732,117,54,1615,6545,56,370
1952173,995863,617,517,3596,10402,1159481,1100429,388,369,2553,7731,87,370
102252,733375,222,257,610,350,96773,1007968,294,218,547,434,37,371
208556,277300,968,690,8437,13254,94818,150668,357,240,2721,4050,80,371
668292,63841,54,43,208,641,678349,85138,60,94,311,489,59,371
97772,152816,241,236,808,453,88984,213463,241,154,871,200,37,371
447666,174418,951,451,1701,2638,389014,217420,864,461,1298,3014,57,371
1954628,1427548,4387,3950,25025,24254,686307,624617,1003,1003,7201,8159,238,371
487065,23275,19,0,545,3603,492499,41751,67,32,640,2962,55,371
593783,512448,75,81,245,446,289363,421441,113,67,140,145,119,371
162249,190892,167,111,242,285,154733,256409,113,83,247,78,44,371
180446,9246,13,45,67,309,168662,9516,33,65,68,93,46,371
369576,262191,1452,1258,6812,12537,157254,131839,596,438,2645,4030,102,371
229359,66713,300,330,1325,1599,203240,86141,287,219,1462,1165,49,371
183680,76991,321,282,1635,4681,171613,99542,351,228,1621,3627,48,371
789645,1272488,2005,1315,4058,2335,739717,1607740,1900,1024,3199,2370,62,371
557303,70130,79,133,611,733,550812,90085,134,78,594,322,57,371
294155,25951,113,90,218,477,241344,31473,89,89,230,358,54,371
109577,7377,89,113,167,351,106680,9789,106,151,180,356,38,372
108555,11935,11,12,180,507,89883,13673,25,29,269,165,40,372
126024,87004,518,503,2631,5020,103469,107573,415,408,1812,3686,45,372
317505,384087,993,903,4862,3438,144810,188615,368,336,1673,1973,88,372
410979,56215,151,93,349,1955,397098,70272,155,64,427,2119,55,372
207521,76403,535,475,1869,3484,177081,95906,442,342,1566,3093,50,372
384534,28749,73,117,1159,7012,384051,36184,47,135,1258,6482,54,373
160144,28431,68,97,400,1002,156211,37140,96,113,413,594,42,373
125250,39671,196,153,918,1055,112704,52293,176,193,1028,913,42,373
456762,189050,55,108,0,620,286708,153634,54,98,76,293,85,373
733239,321069,1162,1000,4985,4138,382706,272357,689,568,3442,3345,87,373
140111,221952,866,830,3732,4669,80875,135041,411,336,1457,2005,47,373
557715,53100,67,117,872,5663,546168,67894,72,72,1735,4760,58,373
287754,66033,91,132,912,4449,280260,90033,65,102,1068,3387,50,374
403000,113443,478,476,2497,2582,327539,119047,430,410,1745,1671,62,374
212262,49138,192,220,770,885,205916,64216,199,171,964,756,47,374
330993,157098,693,666,2641,1147,170995,130385,362,316,1649,894,78,374
120989,46308,43,0,566,3403,106694,60326,24,36,579,2779,42,374
408551,35380,116,85,1310,4768,397857,44382,100,75,1323,4154,54,374
614895,71669,49,145,775,3374,606867,93563,89,148,875,2746,59,374
223996,23803,73,51,577,2865,212741,31534,71,45,722,2755,48,374
176400,135524,387,498,1890,2727,114594,133048,218,284,1131,1782,61,374
751307,62751,101,103,469,1575,747888,81255,133,99,475,1164,60,374
167603,124418,640,468,2803,2358,109764,71451,275,218,1402,1002,62,374
401359,342648,1903,1171,6200,4870,207827,133132,695,323,1630,1894,81,374
195920,107238,450,445,1208,1942,162648,120771,354,338,1058,1649,52,374
1026842,2341431,2861,2306,8311,4497,689212,2449033,1707,1337,4693,3259,82,374
303120,51372,41,135,1005,3370,294448,64392,34,101,1156,3050,50,375
1456809,2288987,3244,2241,6712,1776,870190,2236998,2151,1504,4462,1403,85,375
1054958,2374397,3196,2300,9669,2681,698731,2058013,1846,1502,6096,1853,82,375
318523,184744,294,365,1014,877,285487,235882,267,239,909,925,56,375
590615,77598,85,70,1134,4321,600264,105242,115,78,1192,3778,57,375
106947,284229,80,52,376,272,99899,382648,70,42,417,88,37,375
123348,29836,155,168,1221,2400,113064,38877,150,129,1293,2088,40,375
104802,36598,139,190,568,500,95835,46206,150,137,479,480,40,375
252503,254165,65,31,151,296,156289,179574,45,129,231,112,66,375
161205,203413,880,485,1915,966,141980,247165,699,427,1851,737,46,375
391695,76051,103,76,859,6043,389589,102805,98,60,881,5513,53,375
118695,47059,340,266,1721,2344,100402,56853,232,227,1816,2035,43,376
311784,42951,329,235,2977,5511,288543,54448,248,237,2990,6235,53,376
182664,47934,141,80,430,758,171333,62581,95,136,467,676,46,376
271788,34129,93,113,1934,10690,263994,46573,95,136,1771,9123,50,376
276693,73006,423,312,2368,2276,219559,74513,328,267,1574,1131,68,377
379192,193263,579,560,2718,3125,253451,204759,377,280,2385,2267,69,377
254416,113137,145,167,677,489,238235,145122,140,170,529,373,50,377
85435,27425,47,53,105,303,82935,37774,53,70,27,121,34,377
219676,34515,57,171,932,3237,209458,43446,47,127,725,3355,48,377
187860,40657,172,78,923,2496,178149,53573,148,94,887,2072,46,377
123740,98494,201,121,335,854,110812,123143,212,147,455,411,42,377
119182,77458,319,280,1629,1364,86467,88332,236,182,1280,1339,46,377
462737,50191,70,145,1732,6481,460135,65257,118,81,2123,5141,56,378
179029,286839,11,36,0,346,137745,153508,42,94,72,92,49,378
489631,903133,515,371,4136,9445,346446,491075,311,265,1875,2637,81,378
100111,26379,79,80,164,278,92742,35996,97,41,211,274,37,378
220404,400112,573,307,1514,243,198432,537768,409,287,1461,854,49,378
647830,58050,54,137,1474,7018,653331,75685,75,134,2319,6290,58,378
319905,137436,483,325,2566,2697,147225,108998,168,190,1560,1364,84,378
381705,1133355,1355,828,2949,795,248226,1199697,1030,530,2232,817,65,378
234239,22866,36,72,926,4113,221369,28945,26,57,905,3707,48,378
251001,117678,377,353,1287,1035,186785,132809,259,318,1098,883,58,379
207521,77429,336,227,367,571,199912,102430,288,227,404,360,46,379
156901,51110,192,210,510,870,146264,66881,138,254,345,786,44,379
1542620,2052533,2481,1761,15231,30801,364376,644384,639,360,2503,6356,288,379
107790,43431,182,220,459,76,86030,51622,140,156,448,84,41,380
378753,246977,452,405,2376,2623,320896,313258,286,398,1805,1771,58,380
250831,202667,760,735,5074,11043,150427,134961,362,318,2269,5515,61,380
140884,117593,190,251,1199,686,118448,153040,181,189,979,521,45,380
513972,32015,99,93,423,922,507412,39861,105,90,401,820,57,380
168147,50155,157,165,719,776,134637,59975,126,92,621,657,48,380
518144,208917,1010,661,2764,4480,182102,87537,265,216,1220,1774,150,380
1284100,508054,1524,1266,7309,11471,908825,315518,599,452,3358,10541,93,381
596899,46363,123,37,995,3327,584961,58015,111,56,879,3346,58,381
407398,460703,533,370,990,259,350381,579589,522,341,929,305,57,381
777846,616781,1019,733,1761,892,715093,677622,888,564,1402,680,68,381
157084,5724,52,23,102,598,138393,8789,57,39,144,420,44,381
472480,458496,852,550,2126,2465,332871,462036,632,323,1509,1734,70,381
676925,91610,39,58,396,1629,672889,117971,66,48,466,1173,59,381
131594,172740,305,166,668,579,120776,223413,294,167,769,270,42,381
168434,19751,49,12,5,658,130618,20885,133,28,98,364,51,381
249026,222101,744,633,4650,7112,132182,194334,457,359,2479,4644,78,381
94605,40167,74,38,408,1131,82750,51892,83,76,573,1148,37,381
133607,35311,67,141,1329,8513,124936,47946,90,94,2169,8828,41,381
186660,326058,426,313,1823,2749,116896,400257,268,164,1181,1465,63,382
263166,120221,234,242,1122,1014,228099,147908,231,302,1137,1089,52,382
144058,47581,313,225,1497,1399,121299,52541,256,155,1424,1353,46,382
215532,137845,212,150,526,509,202712,179871,214,160,618,414,48,382
911789,206933,131,60,299,422,655127,177337,66,45,166,497,81,382
303364,247721,752,845,3460,3616,130572,145360,307,393,1739,1779,97,382
287288,179699,65,43,459,536,226811,220114,48,56,375,499,58,382
1386356,1145110,3574,2691,14742,12266,668274,788465,1588,1235,6039,4164,131,382
566286,115339,251,235,1400,3940,539495,139346,175,140,1057,2809,59,382
439219,57064,262,282,727,1702,390413,65972,170,241,972,1313,60,382
451057,160617,540,491,1782,1672,373721,195797,430,320,1829,1948,60,382
122493,8327,8,95,105,269,109276,10045,10,56,183,47,41,382
571451,63161,62,111,1805,7991,562782,81810,48,129,1863,7242,58,382
1587758,590542,2567,2115,8935,10087,1087685,568868,1427,1378,5753,5732,85,383
237364,93601,394,281,1964,2501,187068,104742,387,270,1526,1548,55,383
179876,117295,142,263,1028,2370,149358,126756,145,179,1040,2014,48,383
103700,252580,208,210,1382,2012,86081,267623,164,155,1093,1904,41,383
153729,64782,247,153,1039,1798,128993,76353,224,110,853,1897,48,383
205817,148868,410,286,2327,2078,136374,120588,294,155,1433,1365,66,383
849755,81378,135,198,344,753,835986,105784,167,137,551,499,61,383
655725,51469,105,70,742,3100,654056,68511,109,117,850,2043,58,383
541959,1886944,1501,918,3797,2238,445346,2373044,1103,817,2755,2020,63,384
219131,165658,505,398,871,461,185211,201277,533,265,551,339,50,384
91758,35480,110,107,437,190,88340,50188,100,122,572,144,35,384
671323,98963,106,83,677,1241,659125,125868,134,71,568,1531,60,384
261378,40422,539,426,2054,2001,221517,49435,400,294,1840,1772,54,384
1876363,1693831,4454,3690,17725,15925,1008032,1440414,1856,1489,7537,7095,116,384
319884,92151,218,187,508,1006,321872,124898,148,189,611,802,51,384
250798,245265,780,576,3777,5037,122907,145463,369,201,1739,1944,85,384
136051,66399,261,240,1230,566,117351,80710,261,201,963,324,43,385
801254,137914,149,127,596,2816,789469,176814,120,110,836,2154,61,385
127305,127215,279,186,570,446,118937,170310,172,168,647,401,41,385
111900,78101,225,130,612,117,109203,108466,264,114,710,329,38,385
366403,76650,507,402,3063,3753,265611,69793,309,316,2296,2579,67,385
288914,8393,6,55,62,263,206866,7842,29,83,132,34,64,385
371159,28814,75,5,10,378,362938,36591,56,50,52,305,54,385
1038886,518637,1606,1373,7386,4376,672350,413714,836,724,3977,2595,98,386
363096,37386,0,1,11,468,323309,44320,30,55,23,333,56,386
255764,147781,319,231,637,523,215660,186056,304,176,459,410,51,386
445777,113955,663,473,1506,1399,356328,120567,478,322,1203,879,66,386
81237,36031,129,68,1415,2824,82576,37130,87,68,1252,1799,33,386
666147,81694,152,137,837,2602,659535,103540,129,80,860,2086,59,386
92675,26175,33,88,267,524,89779,34854,105,117,339,317,35,386
96547,29548,248,238,846,303,90346,39394,229,208,704,289,37,386
682218,63355,94,45,829,4380,670870,82642,73,57,908,4037,59,386
952420,356601,303,236,2543,7035,821030,422007,256,245,1785,4956,66,386
192265,132171,0,7,98,282,117179,101038,17,67,154,39,62,387
113582,73694,268,230,734,346,108491,98498,181,276,682,232,39,387
403949,1800999,666,540,4204,1945,352058,2306277,525,370,3443,1234,56,387
457987,53947,75,85,1727,7989,446183,69289,98,78,1799,6571,56,387
110697,30321,1,8,291,816,95807,34039,27,39,317,604,41,387
99800,37735,130,150,523,558,86114,47206,124,93,395,256,40,387
107446,76367,128,71,443,755,97466,101660,145,58,296,756,38,387
424518,40695,63,21,692,3612,413993,53260,105,21,762,3424,55,387
152963,348982,511,328,1103,502,139266,473373,386,310,1235,317,44,387
135956,124154,274,248,732,141,122068,168802,264,161,1043,180,42,387
792412,456781,864,650,2260,122,675178,538249,681,576,2029,281,65,387
487506,357851,632,489,1212,1369,377335,413884,519,319,1161,884,64,387
97589,29202,239,136,574,1070,80328,32673,178,138,422,696,39,388
230041,84164,349,424,1555,1104,149742,61409,219,230,1074,734,74,388
529934,71534,39,68,718,1373,528309,93440,43,31,656,885,57,388
529843,51907,43,174,963,3300,528450,66186,31,206,1025,2801,56,388
677259,98360,462,403,2065,3546,629564,117584,303,287,1756,3201,63,388
111021,10258,44,82,39,451,101532,15037,41,82,2,159,39,388
1155957,24416,2,0,307,274,912097,25293,37,83,233,234,85,388
334386,182987,858,524,3571,1952,214865,177562,495,366,2320,1174,67,388
559188,92062,213,272,3032,10122,541255,103425,203,184,2267,7076,59,388
180934,39412,661,363,576,948,155687,46549,622,280,717,582,48,389
268706,522659,255,154,785,502,248989,688264,198,119,858,371,50,389
628342,59740,79,241,769,1610,620100,74135,93,168,351,883,60,389
415022,247450,1077,861,4549,4421,295489,217223,877,550,3056,2825,68,389
916699,5836197,2050,1615,5427,2442,788666,7138462,1792,1221,4639,2202,65,389
189440,16272,54,74,69,288,187330,22028,82,76,104,76,45,390
121918,37834,164,157,1410,1490,110442,50447,113,149,1248,962,41,390
96858,16450,329,316,361,153,89509,23947,328,269,408,132,36,391
132704,228770,135,151,744,886,116552,303404,138,151,466,888,42,391
477004,61983,150,23,360,1951,451478,77907,190,35,357,2076,57,391
195379,38796,74,143,331,312,183894,48489,79,85,229,284,46,391
490057,123099,800,588,3088,4364,432379,143049,618,483,2905,4063,59,391
777134,96721,85,102,1841,8176,768655,126497,89,54,2086,6716,62,391
826325,1858927,1426,1063,5637,6667,729142,2337802,1097,789,3762,5906,65,391
583102,48985,156,47,781,3890,579671,67214,104,72,1117,3003,57,391
418753,142249,638,479,3711,7113,336289,166637,545,367,3350,6206,60,392
365156,75945,459,307,1432,2581,339573,96688,330,301,1251,2628,55,392
130280,54429,48,21,39,313,103368,65788,45,50,63,259,46,392
141492,38519,349,338,1185,1318,102937,46282,214,203,1192,924,48,392
101919,27882,69,87,714,651,99333,38450,74,81,823,228,36,392
175631,148329,242,412,2080,3749,81404,121228,184,238,884,2281,67,392
127864,293186,208,239,1032,3962,97006,258905,124,131,634,2112,51,392
737796,485250,1860,1695,26671,40657,551560,325310,1112,1109,13180,23587,94,392
435043,1147948,996,617,2931,1670,379772,1415017,689,454,2546,1804,61,392
191446,71345,362,306,1211,1343,170501,86214,287,224,1016,1066,47,393
143184,57177,94,61,328,207,138837,72432,102,110,292,119,41,393
631692,32877,160,61,346,404,596344,41595,103,69,489,263,59,393
301591,121252,534,372,2542,3042,217610,85645,212,273,1196,1600,63,393
337003,180970,835,767,3359,2478,180448,153407,450,461,2833,1550,79,393
319394,183535,996,763,3632,4298,212698,179588,699,519,2850,3108,68,393
1009329,809760,1033,750,2660,1349,842883,934461,732,527,2275,1130,69,393
277302,234359,969,808,5183,3862,160440,151462,352,255,2633,1174,56,394
127244,141800,531,392,1688,1904,98859,163196,366,276,1387,1438,48,394
169528,41988,146,164,850,1934,160357,55721,154,129,927,1937,44,394
